OriginalOrderInBatch,ExternalSampleID,Skull length,Weight,Length,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,PlateName,DNA.Concentration,DNA.Volume,AnimalID,Outlier,Sex,TeethClass,AgeInMonths,Trapping.year,Location,ClusteringBranch,TissueColor,ClusteringColor,predictedFemale,errorFemale,predictedTissue,TailLiverIndicator,FetusIndicator,branchSNP,branchSNP.dist,branchSNP.cor,ConfirmedBySNP,DNAmAgeBasedOnRelativeAge,DNAmAgeBasedOnLogliAge,train,DNAmAgebasedOnAll,AgeAccelbasedOnAll,AgeAccelinTestbasedOnAll,DNAmAgeLOO,AgeAccelLOO
11,1229T,16.9,3.2,54,205483080040_R05C02,1,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,C02,ET0029-CF0021,64.6,20,1229,,F,3,12,2000,Bon Portage Island Nova Scotia,1,brown,brown,1,0,Tail,1,0,4,2,2,,0.553017938,0.49108366,1,0.884221899,-0.01866626,NA,0.85173529,-0.015371889
12,1231T,16.67,4.6,62,205483080040_R06C02,0.916666667,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,D02,ET0029-CF0021,89.3,20,1231,,M,3,11,2000,Bon Portage Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,1,1,1,,0.438147066,0.398325625,1,0.791842983,-0.0474701,NA,0.70091768,-0.110198737
13,1232T,16.37,3.4,58,205483080014_R01C01,1,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,E02,ET0029-CF0021,64.7,20,1232,,F,3,12,2000,Bon Portage Island Nova Scotia,1,brown,brown,1,0,Tail,1,0,4,2,2,,0.600402768,0.727566329,1,0.859968763,-0.042919396,NA,0.834352857,-0.032754322
14,1233T,16.45,4.8,55,205483080014_R02C01,0.916666667,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,F02,ET0029-CF0021,70.5,20,1233,,M,3,11,2000,Bon Portage Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,5,5,4,,0.552781951,0.847475601,1,0.923319499,0.084006416,NA,0.959654313,0.148537896
15,1234T,15.81,3.6,56,205483080014_R03C01,1.333333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,G02,ET0029-CF0021,84.1,20,1234,,M,4,16,2000,Bon Portage Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,1,1,1,,0.502869751,0.611795597,1,1.121405372,-0.035783087,NA,0.987100098,-0.103970133
16,1235T,16.71,3.7,51,205483080014_R04C01,0.916666667,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,H02,ET0029-CF0021,67.9,20,1235,,M,3,11,2000,Bon Portage Island Nova Scotia,1,brown,brown,0,0,Tail,1,0,5,5,4,,0.545595621,0.601248109,1,0.853019502,0.013706418,NA,0.841906966,0.030790549
17,1335T,17.66,3.87,54,205483080014_R05C01,0.416666667,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,A03,ET0029-CF0021,92.4,20,1335,,M,2,5,2005,North Mountain Nova Scotia,1,brown,brown,0,0,Tail,1,0,0,16,0,,0.360733453,0.310440832,1,0.521810394,0.063947762,NA,0.618648598,0.143476758
18,1336T,17.83,3.81,55,205483080014_R06C01,0.416666667,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,B03,ET0029-CF0021,45.9,20,1336,,F,2,5,2005,North Mountain Nova Scotia,1,brown,brown,1,0,Tail,1,0,6,4,3,,0.354671928,0.234808907,1,0.478518296,0.020655665,NA,0.497952348,0.022780509
19,SC1L_eth,18.88,5.6,65,205483080014_R01C02,0.375,90,yes,Sorex cinereus,Cinereus shrew,Liver,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,C03,ET0029-CF0021,39.2,20,S.C. 1,,M,2,4.5,2020,Lakefeild Ontario,2,blue,blue,0,0,Liver,0,0,0,17,7,yes,0.325212671,0.586356275,1,0.380438478,-0.045636616,NA,0.375916377,-0.071260081
20,SC5L_0,19.42,6.5,58,205483080014_R02C02,0.333333333,90,yes,Sorex cinereus,Cinereus shrew,Liver,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,D03,ET0029-CF0021,42.9,20,S.C. 5,,M,2,4,2020,Lakefeild Ontario,2,blue,blue,0,0,Liver,0,0,8,7,8,yes,0.32885503,0.831485257,1,0.39703548,0.002747924,NA,0.434703726,0.015522649
21,SC001L,19.17,7,56,205483080014_R03C02,0.375,90,yes,Sorex cinereus,Cinereus shrew,Liver,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,E03,ET0029-CF0021,48.9,20,SC001,,F,2,4.5,2020,Sandy Cove Nova Scotia,2,blue,blue,1,0,Liver,0,0,0,8,0,yes,0.408235909,0.670530055,1,0.388279151,-0.037795942,NA,0.393071276,-0.054105182
22,SC002L,19.4,5,59,205483080014_R04C02,0.25,90,yes,Sorex cinereus,Cinereus shrew,Liver,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,F03,ET0029-CF0021,45.6,20,SC002,,F,2,3,2020,Sandy Cove Nova Scotia,2,blue,blue,1,0,Liver,0,0,9,9,9,yes,0.371291386,0.710844779,1,0.358736966,-0.067338128,NA,0.354634923,-0.092541535
23,SC003L,19.29,5,58,205483080014_R05C02,0.333333333,90,yes,Sorex cinereus,Cinereus shrew,Liver,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,G03,ET0029-CF0021,41.6,20,SC003,,F,2,4,2020,Sandy Cove Nova Scotia,2,blue,blue,1,0,Liver,0,0,10,10,10,yes,0.3297138,0.593608901,1,0.400736917,0.006449361,NA,0.42837706,0.009195983
24,SC004L,19.32,5,61,205483080014_R06C02,0.25,90,yes,Sorex cinereus,Cinereus shrew,Liver,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,H03,ET0029-CF0021,43.8,20,SC004,,M,2,3,2020,Sandy Cove Nova Scotia,2,blue,blue,0,0,Liver,0,0,11,11,11,yes,0.258343423,0.415276106,1,0.321486511,-0.104588583,NA,0.261260659,-0.185915799
25,LI001L,17.46,5,54,205483080024_R01C01,1.25,90,yes,Sorex cinereus,Cinereus shrew,Liver,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,A04,ET0029-CF0021,43.3,20,LI001,,M,4,15,2020,Long Island Nova Scotia,2,blue,blue,0,0,Liver,0,0,2,6,5,yes,1.056152395,2.421676005,1,1.139793132,0.046179748,NA,1.173769134,0.138689665
26,LI002L,17.52,5,53,205483080024_R02C01,1.083333333,90,yes,Sorex cinereus,Cinereus shrew,Liver,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,B04,ET0029-CF0021,63.3,20,LI002,,F,4,13,2020,Long Island Nova Scotia,2,blue,blue,1,0,Liver,0,0,6,12,12,yes,0.781848537,1.858360195,1,0.978827689,0.012364455,NA,0.939664234,0.016566291
27,LI003L,17.95,4,53,205483080024_R03C01,0.375,90,yes,Sorex cinereus,Cinereus shrew,Liver,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,C04,ET0029-CF0021,42.1,20,LI003,,F,2,4.5,2020,Long Island Nova Scotia,2,blue,blue,1,0,Liver,0,0,0,18,0,yes,0.536813873,1.584486363,1,0.414555139,-0.011519954,NA,0.552823208,0.10564675
