"","sampleid","processing_date","barcode_id","roost_site","latitude_s","longitude_e","researchers_present","sampling_session","net_date","net_open_time","net_close_time","exit_count","capture_time","processing_time_start","processing_time_end","weather","bat_species","duplicated_sampleid","recap","bat_sex","bat_age_class","young_of_year","pupmom_pair","pup_or_mom","sampleid_pupmom_pair","fed_bananas_before","bat_weight_g","body_length_cm","bat_forearm_mm","bat_tibia_mm","ear_length_mm","gonad_length_mm","gonad_width_mm","hair_y_n","wing_punch","bat_flies","meglastreblidae","fleas","mites","ticks","t_star","urine_vial","feces_vial","throat_vial","eppendorf_vol_ul","serum_aliquots_num","rbc_aliquots_num","buffy_coat_aliquots_num","rna_protect_vol_ul","slides_thin_num","slides_thick_num","filter_y_n","toothwear","temperature_f","notes","check_notes_y_n","performed_necropsy","spleen_rna_preserve","liver_rna_preserve","kidney_rna_preserve","brain_rna_preserve","spleen_plain","liver_plain","kidney_plain","brain_plain","liver_aluminum","kidney_aluminum","gonads_aluminum","brain_aluminum","intestines_aluminum","teeth_num","tooth_type","predicted_mass_g","mass_forearm_residual","recap_new"
"1","AMB122","2018-02-23","442","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",680,"28",164,82.7,22.5,"19.1","20","yes","1","0",NA,"0","0",0,NA,1,1,1,500,NA,NA,NA,500,2,"2","yes","heavy","99.6 (8:05); 98.5 (8:10); 98.5 (8:12)","Took tooth under anesthesia. Fed sugar water and released after processing",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619.70098553991,60.2990144600902,"no"
"2","AMB123","2018-02-23","500","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",750,"26.8",174,71.6,19.4,"11","16.3","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","moderate","99.9 (8:37); 98.8 (8:42); 98.1 (8:52); 97.7 (8:57)","Took tooth under anesthesia. Fed sugar water and released after processing",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695.452199802479,54.5478001975214,"no"
"3","AMB125","2018-02-24","1334","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",540,"24.9",168,77.7,20.4,"14.4","16.9","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","moderate","98.2 (7:32); 98.3 (7:36); 97.5 (7:43); 97.2 (7:51)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.491275115823,-109.491275115823,"no"
"4","AMB126","2018-02-24","1335","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",790,"23.8",178,79.1,24,"20.8","21.7","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","mild","102.2 (7:57); 101.6 (8:03); 99.2 (8:12); 98.5 (8:16)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726.941946948042,63.0580530519576,"no"
"5","AMB129","2018-02-25","1338","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",580,"24.8",167,78.8,21.6,"8.4","10.4","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","mild","98 (7:10); 98.4 (7:14); 98.4 (7:24)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture. Could be young of the year or 1 year old",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641.979882582312,-61.9798825823123,"no"
"6","AMB130","2018-02-26","1339","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","female","NL","no","no",NA,NA,"unknown",565,"23.9",168,75.2,26.3,"7.1","11.5","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","moderate","100.6 (6:52); 99.7 (7:01); 97.4 (7:08); 97.6 (7:16); 96.9 (7:18)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.11619620788,-11.1161962078797,"no"
"7","AMB131","2018-02-27","1340","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","female","NL","no","no",NA,NA,"unknown",580,"25.9",167,81.5,23.6,"5.8","8.1","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","mild","100.9 (6:54); 97.7 (7:03); 97.6 (7:09)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.543636709574,8.45636329042634,"no"
"8","AMB132","2018-02-28","1341","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",685,"26.4",168,79.5,25.2,"19.95","20.3","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,2,"2","yes","mild","100.7 (7:11); 99.4 (7:17); 97.7 (7:24)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.491275115823,35.5087248841774,"no"
"9","AMB134","2018-03-01","1343","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",730,"21.2",168,77.9,27.6,"20.3","22.7","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,1,"0","yes","mild","100.1 (7:15); 97.5 (7:30)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.491275115823,80.5087248841774,"no"
"10","AMB136","2018-03-01","1345","Ambakoana_Pruf",-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,"Pteropus rufus","","no","male","A","no","no",NA,NA,"unknown",655,"26.4",169,78.4,24.8,"18.1","18.3","yes","1","0",NA,"0","0",0,NA,0,1,1,500,NA,NA,NA,500,1,"0","yes","heavy","98.4 (7:56); 97.6 (9:03); 97.4 (8:07); 97.3 (8:09); 97.2 (8:14)","Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture. Animal seems very old",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.04519251416,-2.04519251415957,"no"
