sample_id,roost_site,latitude_s,longitude_e,researchers_present,net_date,net_open_time,net_close_time,exit_count,capture_time,processing_date,sampling_session,processing_time_start,processing_time_end,weather,bat_species,duplicated_sampleid,barcode_id,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,fed_bananas_before,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,hair_y_n,wing_punch,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,urine_vial,feces_vial,throat_vial,eppendorf_vol_ul,serum_aliquots_num,rbc_aliquots_num,buffy_coat_aliquots_num,rna_protect_vol_ul,slides_thin_num,slides_thick_num,filter_y_n,toothwear,temperature_f,notes,check_notes_y_n,performed_necropsy,spleen_rna_preserve,liver_rna_preserve,kidney_rna_preserve,brain_rna_preserve,spleen_plain,liver_plain,kidney_plain,brain_plain,liver_aluminum,kidney_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth_num,tooth_type
ANGB158,Angavobe_Edup,-18.944,47.9491,"CB, CR, AFA, AR",NA,NA,NA,NA,NA,2018-09-09,49,NA,NA,NA,Eidolon dupreanum,,1023,no,female,P,no,no,NA,NA,unknown,385,21.8,134.5,61.8,34.5,8.7,5.7,yes,0,0,NA,0,0,0,NA,1,1,1,450,NA,NA,NA,150,2,1,yes,mild,98.2 (15:18); 97.4 (15:26); 96.8 (15:34),Wing punch tubes exploded in liquid N and was lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANGB60,Angavobe_Edup,-18.944,47.9491,"CB, CR, AR, Bido",NA,NA,NA,NA,NA,2015-04-27,25,NA,NA,NA,Eidolon dupreanum,,771,NA,female,NL,NA,NA,NA,NA,unknown,340,20,135,62.89,28.7,small,NA,yes,NA,2,NA,0,3,NA,NA,0,2,2,400,NA,NA,NA,NA,2,2,yes,mild,97.7 (9:44); 99.8 (9:52); 101.8 (10:09),Fed sugar water x2 and released at dusk post-processing`` ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT005,Ankarana_Cathedral_Edup,-12.952901,49.046885,"SG, AA",NA,NA,NA,NA,NA,2019-09-28,80,NA,NA,NA,Eidolon dupreanum,,9.56E+14,no,male,A,no,no,NA,NA,unknown,312,22.5,129.1,63.8,28.7,11.8,12.2,yes,1,0,0,0,7,0,NA,1,1,1,500,NA,NA,NA,200,2,1,yes,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT013,Ankarana_Cathedral_Edup,-12.952901,49.046885,"SG, AA",NA,NA,NA,NA,NA,2019-09-29,80,NA,NA,NA,Eidolon dupreanum,,9.56E+14,no,male,A,no,no,NA,NA,unknown,290,24.7,135.7,66,28,12,10.3,yes,1,6,0,0,4,0,NA,1,1,1,500,NA,NA,NA,200,2,1,yes,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL132,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR",NA,NA,NA,NA,NA,2015-06-24,31,NA,NA,NA,Eidolon dupreanum,,917,NA,female,NL,NA,NA,NA,NA,unknown,310,20.9,126.5,65.7,36.3,6.3,11.5,yes,NA,5,NA,1,1,NA,NA,0,2,2,500,NA,NA,NA,NA,2,2,yes,mild,100.7 (15:37),Fed sugar water and release at dusk.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL150,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",NA,NA,NA,NA,NA,2018-02-15,38,NA,NA,NA,Eidolon dupreanum,,1092,no,female,NL,no,no,NA,NA,unknown,335,21.3,130.9,62.2,24.5,6.55,8.76,yes,1,5,NA,0,8,0,NA,0,1,1,200,NA,NA,NA,200,2,2,no,new,98.6 (14:38); 97.7 (14:43),Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL153,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",NA,NA,NA,NA,NA,2018-02-15,38,NA,NA,NA,Eidolon dupreanum,,1089,no,female,NL,no,no,NA,NA,unknown,360,21,123,56.8,23.9,10.4,10.9,yes,1,1,NA,0,6,0,NA,1,1,1,200,NA,NA,NA,100,2,2,yes,moderate,100.8 (15:25); 101.8 (15:37),Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL158,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",NA,NA,NA,NA,NA,2018-02-15,38,NA,NA,NA,Eidolon dupreanum,,1084,no,female,J,yes,no,NA,NA,unknown,295,19.8,130.1,56.6,31,2.1,4.2,yes,1,7,NA,3,6,0,NA,0,1,1,200,NA,NA,NA,200,2,2,yes,mild,99.3 (17:04),Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL170,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",NA,NA,NA,NA,NA,2018-02-15,38,NA,NA,NA,Eidolon dupreanum,,1070,no,female,NL,no,no,NA,NA,unknown,355,19.5,124.3,59.1,28.4,8.2,11.1,yes,1,7,NA,1,0,0,NA,1,1,1,200,NA,NA,NA,200,2,2,yes,mild,skipped because late and rushed and bats seemed healthy,Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL179,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",NA,NA,NA,NA,NA,2018-02-16,38,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,310,20.6,130.5,58.9,30.9,22.7,24.5,yes,1,2,NA,0,2,0,NA,0,1,1,200,NA,NA,NA,200,2,2,yes,moderate,97.3 (9:59); 97 (10:06),3rd time recapture. Took tooth in Dec 2014 upon second capture. Wound fully healed; took photos. Started to adminsiter anesthesia before realizing that tooth had been taken before,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL198,Angavokely_Edup,-18.9327,47.7578,"CR, AFA, AR",NA,NA,NA,NA,NA,2018-04-10,42,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,320,21,130.4,62.7,29.7,21.8,13.4,NA,1,1,NA,7,5,0,NA,0,1,1,300,NA,NA,NA,200,2,1,yes,mild,97.8 (14:12); 97.5 (11:15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL200,Angavokely_Edup,-18.9327,47.7578,"CR, AFA, AR",NA,NA,NA,NA,NA,2018-04-10,42,NA,NA,NA,Eidolon dupreanum,,1036,no,female,NL,no,no,NA,NA,unknown,340,23,136.1,69.4,26.5,8.8,6.7,yes,1,11,NA,4,2,0,NA,1,1,1,300,NA,NA,NA,200,2,1,yes,mild,102.3 (15:13),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL203,Angavokely_Edup,-18.9327,47.7578,"CR, AFA, AR",NA,NA,NA,NA,NA,2018-04-10,42,NA,NA,NA,Eidolon dupreanum,,1033,no,female,NL,no,no,NA,NA,unknown,320,21,130.5,66,unknown,8.6,6.2,yes,1,3,NA,4,0,0,NA,0,1,1,300,NA,NA,NA,200,2,1,yes,mild,102.4 (16:12),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL209,Angavokely_Edup,-18.9327,47.7578,"CR, AFA, AR",NA,NA,NA,NA,NA,2018-04-10,42,NA,NA,NA,Eidolon dupreanum,,1028,no,female,NL,no,no,NA,NA,unknown,265,22.5,131.7,62.4,23.7,8.2,6.7,yes,1,1,NA,2,1,0,NA,0,1,1,300,NA,NA,NA,200,2,1,yes,mild,97 (18:36),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL22,Angavokely_Edup,-18.9327,47.7578,"CB, CR, Dada",NA,NA,NA,NA,NA,2013-11-26,5,NA,NA,NA,Eidolon dupreanum,,243,NA,female,L,NA,NA,NA,NA,unknown,310,20.5,126,61,31,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,2,2,2,500,NA,NA,NA,NA,2,0,yes,NA,97.7 (17:00); 200.5 (17:09); 99.2 (17:89),mother to KEL23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL226,Angavokely_Edup,-18.9327,47.7578,"CR, AFA, AR, Noe",NA,NA,NA,NA,NA,2018-07-27,46,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,340,18.5,115.9,63.3,29.8,24.3,10,yes,0,2,NA,10,0,0,NA,1,1,1,500,NA,NA,NA,100,1,0,yes,moderate,97.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL246,Angavokely_Edup,-18.9327,47.7578,"CB, SG, MA, T, ",NA,NA,NA,NA,NA,2019-01-06,56,NA,NA,NA,Eidolon dupreanum,,1604_1,no,male,A,no,no,NA,NA,unknown,145,11.61,105.3,46,23.5,NA,NA,yes,1,3,NA,NA,NA,NA,NA,0,1,1,300,NA,NA,NA,200,2,1,yes,mild,NA,young of last year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
