sample_id,roost_site,latitude_s,longitude_e,researchers_present,net_date,net_open_time,net_close_time,exit_count,capture_time,processing_date,sampling_session,processing_time_start,processing_time_end,weather,bat_species,duplicated_sampleid,barcode_id,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,fed_bananas_before,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,hair_y_n,wing_punch,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,urine_vial,feces_vial,throat_vial,eppendorf_vol_ul,serum_aliquots_num,rbc_aliquots_num,buffy_coat_aliquots_num,rna_protect_vol_ul,slides_thin_num,slides_thick_num,filter_y_n,toothwear,temperature_f,notes,check_notes_y_n,performed_necropsy,spleen_rna_preserve,liver_rna_preserve,kidney_rna_preserve,brain_rna_preserve,spleen_plain,liver_plain,kidney_plain,brain_plain,liver_aluminum,kidney_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth_num,tooth_type
KEL49,Angavokely_Edup,-18.9327,47.7578,"CB, CR, MR",NA,NA,NA,NA,NA,2014-10-08,13,NA,NA,NA,Eidolon dupreanum,,343,yes,male,A,NA,NA,NA,NA,unknown,450,20.4,122.3,62.5,25.8,4.7,9,yes,NA,2,NA,0,2,NA,NA,2,2,2,800,NA,NA,NA,NA,2,1,yes,mild,99.2 (19:24); 101.5 (19:38),Fed sugar water and release at night,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL76,Angavokely_Edup,-18.9327,47.7578,"CB, CR, MR",NA,NA,NA,NA,NA,2014-12-17,20,NA,NA,NA,Eidolon dupreanum,,780,NA,male,A,NA,NA,NA,NA,unknown,330,19.5,127.1,63.7,33.9,14.4,22.4,yes,NA,4,NA,6,14,NA,NA,0,2,2,600,NA,NA,NA,NA,2,2,yes,mild,NA,Fed sugar water and released at dusk post-processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL99,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, Bido",NA,NA,NA,NA,NA,2015-04-28,26,NA,NA,NA,Eidolon dupreanum,,747,NA,female,NL,NA,NA,NA,NA,unknown,360,21.8,126.5,61.4,25.6,5.8,9.3,yes,NA,4,NA,0,4,NA,NA,0,2,2,500,NA,NA,NA,NA,2,2,yes,mild,97.6 (10:54); 99.2 (11:08),Fed sugar water x2 and released at dusk post-processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAK1,Makira_Pruf,-15.1054,49.5864,"CB, CR, MR",NA,NA,NA,NA,NA,2014-10-30,,NA,NA,NA,Pteropus rufus,,358,NA,female,P,NA,NA,NA,NA,unknown,730,26.9,164,80.6,39.2,13.3,13.9,yes,2,NA,NA,NA,NA,NA,NA,2,2,2,700,NA,NA,NA,NA,2,1,yes,moderate,99.3 (9:20); 99.4 (9:26); 97.6 (9:41); 97.5 (9:51); 97.5 (10:01); 97.3 (10:11); 97.4 (10:23),"very pregnant, will likely give birth in next 2 weeks. Fed sugar water post-processing, released at dusk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAK11,Makira_Pruf,-15.1054,49.5864,"CR, AR",NA,NA,NA,NA,NA,2015-07-12,32,NA,NA,NA,Pteropus rufus,,498,NA,male,A,NA,NA,NA,NA,unknown,740,30,170,83.49,25.56,small,NA,yes,NA,0,NA,0,0,NA,NA,0,2,2,700,NA,NA,NA,NA,2,2,yes,moderate,99.0 (7:46);99.8(7:57),Fed sugar water and release at dusk.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAK12,Makira_Pruf,-15.1054,49.5864,"CR, AR",NA,NA,NA,NA,NA,2015-07-12,32,NA,NA,NA,Pteropus rufus,,499,NA,male,A,NA,NA,NA,NA,unknown,780,27.5,170,85.39,28.79,small,NA,yes,NA,0,NA,0,0,NA,NA,2,2,2,700,NA,NA,NA,NA,2,2,yes,moderate,97.8(8:00);97.2(8:14),Fed sugar water and release at dusk.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARO14,Marovitsika_Pruf,-18.8403,48.0554,CR,NA,NA,NA,NA,NA,2014-02-19,6,NA,NA,NA,Pteropus rufus,,315,NA,male,J,NA,NA,NA,NA,unknown,310,21,140,67,27,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,1,2,2,500,NA,NA,NA,NA,2,0,yes,NA,98(8:00);98.9(8:12);98.5(8:24),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARO36,Marovitsika_Pruf,-18.8403,48.0554,"CB, CR, YL",NA,NA,NA,NA,NA,2014-08-23,10,NA,NA,NA,Pteropus rufus,,429,NA,male,A,NA,NA,NA,NA,unknown,600,23.7,167,82.3,29.1,NA,NA,yes,2,0,NA,0,0,NA,NA,2,2,2,600,NA,NA,NA,NA,2,1,yes,mild,98.6 (14:15); 98 (14:24); 97.7 (14:32); 97.7 (14:39); 97.6 (14:47); 97.6 (15:05); 97.3 (15:11); 97.2 (15:40),Fed with sugar water after processing,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARO50,Marovitsika_Pruf,-18.8403,48.0554,"CB, CR",NA,NA,NA,NA,NA,2014-11-29,16,NA,NA,NA,Pteropus rufus,,,NA,female,J,NA,NA,NA,NA,unknown,115,15.5,93.6,45.6,22.6,small,NA,yes,NA,0,NA,0,0,NA,NA,2,2,2,500,NA,NA,NA,NA,2,1,yes,mild,NA,"Infant to MARO 49. Fed twice, then released at capture site at dusk. Mother abandoned in tree (stress?). Gave a few days later (Dec 2) to MARO62 (infantless lactating female), who appeared to accept her.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARO52,Marovitsika_Pruf,-18.8403,48.0554,"CB, CR",NA,NA,NA,NA,NA,2014-11-30,16,NA,NA,NA,Pteropus rufus,,449,NA,male,A,NA,NA,NA,NA,unknown,460,22.2,155,70,27,9,12,yes,NA,0,NA,0,0,NA,NA,0,2,2,1000,NA,NA,NA,NA,2,2,yes,new,99.2 (7:13); 97.8 (7:25); 97.3 (7:30); 97.2 (7:33),"Fed twice, then released at capture site at dusk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARO74,Marovitsika_Pruf,-18.8403,48.0554,"CB, CR, AR, Bido",NA,NA,NA,NA,NA,2015-03-14,21,NA,NA,NA,Pteropus rufus,,375,NA,female,J,NA,NA,NA,NA,unknown,370,19.8,144,71.7,24.8,small,NA,yes,0,0,NA,0,0,NA,NA,0,2,2,1000,NA,NA,NA,NA,2,2,yes,mild,100.7 (9:11); 100.6 (9:18); 101.1 (9:24); 98.9 (9:28); 98.6 (9:34),likely yearling. Tooth came out so easily!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARO75,Marovitsika_Pruf,-18.8403,48.0554,"CB, CR, AR, Bido",NA,NA,NA,NA,NA,2015-03-15,21,NA,NA,NA,Pteropus rufus,,473,NA,male,A,NA,NA,NA,NA,unknown,700,26.8,172,92.7,33.2,16.8,17.6,yes,NA,0,NA,0,0,NA,NA,2,2,2,1000,NA,NA,NA,NA,2,2,yes,moderate,99.1 (8:08); 97.2 (8:19); 97.6 (8:30); 97.3 (8:38),"Tooth perfect. Fed sugar water after processing, then again before release at dusk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ140,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR, AR, AFA",NA,NA,NA,NA,NA,2018-02-18,39,NA,NA,NA,Rousettus madagascariensis,,M5,no,female,L,no,yes,mom,MIZ141,unknown,60,10.3,64.9,26.2,10.5,6.8,8,yes,1,5,NA,5,6,0,NA,0,1,1,200,NA,NA,NA,100,2,2,yes,moderate,too small,mom to MIZ141. Fed sugar water and released after processing,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ199,Maromizaha_Rmad,-18.9623,48.4525,"CR, AFA, AR, Noe",NA,NA,NA,NA,NA,2018-07-29,47,NA,NA,NA,Rousettus madagascariensis,,M41,no,female,NL,no,no,NA,NA,unknown,50,10.5,67.1,30.2,15.4,2.8,4.2,yes,1,7,NA,0,1,1,NA,0,1,1,175,NA,NA,NA,30,2,0,yes,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ205,Maromizaha_Rmad,-18.9623,48.4525,"CR, AFA, AR, Noe",NA,NA,NA,NA,NA,2018-07-29,47,NA,NA,NA,Rousettus madagascariensis,,M47,no,male,A,no,no,NA,NA,unknown,60,12,72.6,36.1,10,14.3,9.3,yes,1,4,NA,0,0,0,NA,0,1,1,250,NA,NA,NA,150,2,0,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ221,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR, AFA, AR",NA,NA,NA,NA,NA,2018-09-11,50,NA,NA,NA,Rousettus madagascariensis,,M64,no,male,A,no,no,NA,NA,unknown,70,11.8,72.3,35.6,15.6,10.6,8.1,yes,1,8,NA,0,5,0,NA,0,1,1,370,NA,NA,NA,90,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ226,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR, AFA, AR",NA,NA,NA,NA,NA,2018-09-11,50,NA,NA,NA,Rousettus madagascariensis,,M69,no,male,A,no,no,NA,NA,unknown,70,12,74,35.7,15.8,10.4,13.4,yes,1,12,NA,0,5,0,NA,0,1,1,370,NA,NA,NA,90,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ236,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR, AFA, AR",NA,NA,NA,NA,NA,2018-09-11,50,NA,NA,NA,Rousettus madagascariensis,,M79,no,female,NL,no,no,NA,NA,unknown,55,9.4,70.2,31.4,13.8,3.1,2.1,yes,1,4,NA,0,6,0,NA,1,1,1,370,NA,NA,NA,90,2,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ3,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR",NA,NA,NA,NA,NA,2014-10-03,12,NA,NA,NA,Rousettus madagascariensis,,,NA,male,A,NA,NA,NA,NA,unknown,70,10.7,73.5,31.9,14.9,15.5,11.5,yes,2,14,NA,0,0,NA,NA,2,2,2,200,NA,NA,NA,NA,2,1,yes,moderate,too small,released at night after feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ319,Maromizaha_Rmad,-18.9623,48.4525,"AA, Tiana, MA, Vero",NA,NA,NA,NA,NA,2019-01-09,58,NA,NA,NA,Rousettus madagascariensis,,M140,no,male,A,no,no,NA,NA,unknown,42,10,71.3,33.5,17,6.7,10.6,yes,1,9,0,0,14,0,NA,0,1,1,300,NA,NA,NA,150,2,1,yes,moderate,NA,Did PHA; held for 24 hours; fed sugar water and released,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ320,Maromizaha_Rmad,-18.9623,48.4525,"AA, Tiana, MA, Vero",NA,NA,NA,NA,NA,2019-01-09,58,NA,NA,NA,Rousettus madagascariensis,,M141,no,female,L,no,yes,mom,MIZ326,unknown,91,9.85,67.4,30.4,14.4,5.2,6.5,yes,1,19,0,4,11,3,NA,0,1,1,300,NA,NA,NA,200,2,1,yes,NA,NA,Did PHA; held for 24 hours; fed sugar water and released,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ321,Maromizaha_Rmad,-18.9623,48.4525,"AA, Tiana, MA, Vero",NA,NA,NA,NA,NA,2019-01-09,58,NA,NA,NA,Rousettus madagascariensis,,M142,no,female,L,no,yes,mom,MIZ327,unknown,55,10.65,67.6,31.1,17.5,6.7,5.9,yes,1,6,1,0,5,1,NA,0,1,1,200,NA,NA,NA,100,2,1,yes,heavy,NA,Did PHA; held for 24 hours; fed sugar water and released; had very young baby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ326,Maromizaha_Rmad,-18.9623,48.4525,"AA, Tiana, MA, Vero",NA,NA,NA,NA,NA,2019-01-09,58,NA,NA,NA,Rousettus madagascariensis,,,no,male,J,yes,yes,pup,MIZ320,unknown,5,5.81,30,13.8,10,small,small,yes,1,0,0,1,0,0,NA,0,0,1,0,NA,NA,NA,0,0,0,no,new,NA,Did PHA on mom; held for 24 hours; fed sugar water and released,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ392,Maromizaha_Rmad,-18.9623,48.4525,"KR, AG, AA, FR",NA,NA,NA,NA,NA,2019-02-24,62,NA,NA,NA,Rousettus madagascariensis,,,no,female,J,yes,no,NA,NA,unknown,40,11.5,68.6,30.7,16,3.5,2.2,yes,1,8,NA,NA,3,NA,NA,1,1,1,180,NA,NA,NA,100,2,1,yes,new,NA,Sharpie-id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ524 ,Maromizaha_Rmad,-18.9623,48.4525,"AG, FR, SA, SK, KF",NA,NA,NA,NA,NA,2019-10-15,81,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,NL,no,no,NA,NA,unknown,56,9.81,69,32.3,13.9,6,3,yes,1,4,0,0,2,0,NA,0,1,1,150,NA,NA,NA,50,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ537,Maromizaha_Rmad,-18.9623,48.4525,"AG, FR, SA, SK, KF",NA,NA,NA,NA,NA,2019-10-15,81,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,60,11.43,70.5,32.9,12.9,11.1,9.7,yes,1,6,2,0,15,0,NA,0,1,1,400,NA,NA,NA,40,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ546,Maromizaha_Rmad,-18.9623,48.4525,"AG, FR, SA, SK, KF",NA,NA,NA,NA,NA,2019-10-16,81,NA,NA,NA,Rousettus madagascariensis,y,9.56E+14,yes,male,A,no,no,NA,NA,unknown,60,11.45,70.1,34.5,10.8,10,7.5,yes,1,2,1,0,7,0,NA,2,1,1,150,NA,NA,NA,0,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ574,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",NA,NA,NA,NA,NA,2019-12-10,88,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,74,11.51,65.4,32.1,9.3,7.5,8.1,yes,1,2,0,0,25,0,NA,1,1,1,300,NA,NA,NA,40,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ633,Maromizaha_Rmad,-18.9623,48.4525,"AG, SA, FR",NA,NA,NA,NA,NA,2020-03-09,93,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,yes,female,A,no,no,NA,NA,unknown,55,10.1,71,30,13,5,2.5,yes,1,5,1,0,3,0,NA,1,1,1,400,NA,NA,NA,50,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ634,Maromizaha_Rmad,-18.9623,48.4525,"AG, SA, FR",NA,NA,NA,NA,NA,2020-03-09,93,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,70,11.45,72.2,35,10.5,9.5,9,yes,1,4,2,0,0,0,NA,0,1,1,350,NA,NA,NA,50,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ637,Maromizaha_Rmad,-18.9623,48.4525,"AG, SA, FR",NA,NA,NA,NA,NA,2020-03-09,93,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,NL,no,no,NA,NA,unknown,70,11.3,74,31,12,4,6,yes,1,8,4,0,7,0,NA,0,1,1,200,NA,NA,NA,40,2,1,yes,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZ640,Maromizaha_Rmad,-18.9623,48.4525,"AG, SA, FR",NA,NA,NA,NA,NA,2020-03-09,93,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,NA,11,70,31,13,13,11,yes,1,8,NA,0,1,0,NA,1,1,1,600,NA,NA,NA,40,2,1,yes,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU119,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-09-26,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,J,yes,no,NA,NA,unknown,45,10.45,68.8,29.9,13,small,small,yes,1,9,0,0,6,0,NA,1,1,1,475,NA,NA,NA,60,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rou120,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-09-26,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,P,no,no,NA,NA,unknown,52,10.92,71.7,32.9,12.3,4.6,2.4,yes,1,8,1,0,2,0,NA,0,1,1,500,NA,NA,NA,70,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rou121,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-09-26,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,male,A,no,no,NA,NA,unknown,52,11.15,70.7,33.6,10.7,receded,receded,yes,1,8,0,0,3,1,NA,1,1,1,350,NA,NA,NA,80,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU135,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-09-29,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,P,no,no,NA,NA,unknown,54,10.31,72.3,32.1,11.9,2.8,1.7,yes,1,0,0,0,4,1,NA,1,1,1,400,NA,NA,NA,75,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU136,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-09-29,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,male,J,no,no,NA,NA,unknown,40,9.65,63.3,27.9,11.7,small,small,yes,1,4,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU139,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-09-29,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,J,no,no,NA,NA,unknown,44,9.78,68.6,29.9,10.5,small,small,yes,1,1,0,0,1,5,NA,0,1,1,525,NA,NA,NA,75,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU159,Ankarana_Canyon_Rmad,-12.9435,49.0555,"SG, AA",NA,NA,NA,NA,NA,2019-11-07,84,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,NL,no,no,NA,NA,unknown,48,11.76,71.4,32.1,10.6,1,3.3,yes,1,2,0,0,4,0,NA,0,1,1,350,NA,NA,NA,80,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU161,Ankarana_Canyon_Rmad,-12.9435,49.0555,NA,NA,NA,NA,NA,NA,2019-11-07,84,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,NA,male,A,no,no,NA,NA,unknown,51,11.18,71,34.2,12.9,small,small,yes,1,1,0,1,13,1,NA,1,1,1,350,NA,NA,NA,100,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU163,Ankarana_Canyon_Rmad,-12.9435,49.0555,NA,NA,NA,NA,NA,NA,2019-11-07,84,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,NA,female,NL,no,no,NA,NA,unknown,47,11.07,71.3,31.9,12.4,small,small,yes,1,3,0,0,6,1,NA,0,1,1,400,NA,NA,NA,80,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU166,Ankarana_Canyon_Rmad,-12.9435,49.0555,NA,NA,NA,NA,NA,NA,2019-11-08,84,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,NA,female,P,no,no,NA,NA,unknown,61,10.87,70.2,33.4,13.8,4.8,3.7,yes,1,2,0,0,3,0,NA,0,1,1,400,NA,NA,NA,100,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU170,Ankarana_Canyon_Rmad,-12.9435,49.0555,NA,NA,NA,NA,NA,NA,2019-11-08,84,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,NA,female,NL,no,no,NA,NA,unknown,61,11.37,74.4,33.6,16.2,4.7,5.6,yes,1,3,0,0,1,0,NA,0,1,1,350,NA,NA,NA,50,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU68,Ankarana_Canyon_Rmad,-12.9435,49.0555,"CB, CR, Ama, Maddie",NA,NA,NA,NA,NA,2015-03-29,23,NA,NA,NA,Rousettus madagascariensis,,,NA,female,NL,NA,NA,NA,NA,unknown,42,9.65,64.4,30.3,15.7,small,NA,yes,NA,4,NA,0,0,NA,NA,0,2,2,400,NA,NA,NA,NA,2,2,yes,heavy,too small,Fed sugar water and released after processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTC003,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",NA,NA,NA,NA,NA,2019-09-28,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,female,P,no,no,NA,NA,unknown,53,12.22,73.6,33.8,12.8,4.1,2.4,yes,1,14,0,0,6,2,NA,0,1,1,600,NA,NA,NA,80,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTC004,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",NA,NA,NA,NA,NA,2019-09-29,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,male,A,no,no,NA,NA,unknown,49,10.81,65.8,30.3,9.8,small,small,yes,1,0,0,0,2,1,NA,1,1,1,400,NA,NA,NA,60,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTC005,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",NA,NA,NA,NA,NA,2019-09-29,80,NA,NA,NA,Rousettus madagascariensis,,9.56E+14,no,male,A,no,no,NA,NA,unknown,49,10.88,70.1,32.3,13.7,receded,receded,yes,1,6,0,0,2,1,NA,1,1,1,300,NA,NA,NA,50,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSI002,Marotsipohy_Pruf,-18.3926,48.1439,"AA, FR, AG",NA,NA,NA,NA,NA,2019-06-16,69,NA,NA,NA,Pteropus rufus,,1391,no,male,A,no,no,NA,NA,unknown,700,34,177,83.7,27.1,receded,receded,yes,1,0,0,0,0,0,NA,1,1,1,500,NA,NA,NA,300,2,1,yes,heavy,"96.2(9:13), 96.5 (9:22)","liquid nitrogen ran out days before returning from the mission, samples yellowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSI029,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",NA,NA,NA,NA,NA,2019-09-02,76,NA,NA,NA,Pteropus rufus,,9.56E+14,no,male,A,no,no,NA,NA,unknown,610,25.6,174,80.7,20.1,14.5,10.9,yes,1,0,0,0,0,0,NA,1,1,1,500,NA,NA,NA,130,2,1,yes,moderate,"96.6 (14:58), 97.7 (15:24), 97.5 (15:42), 96.2 (15:51) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSI031,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",NA,NA,NA,NA,NA,2019-09-03,76,NA,NA,NA,Pteropus rufus,,9.56E+14,no,male,A,no,no,NA,NA,unknown,690,27.3,172,100,22.9,12.7,15.6,yes,1,0,0,0,0,0,NA,1,1,1,500,NA,NA,NA,200,2,1,yes,moderate,"97.4 (7:40), 96.8 (7:53), 94.5 (8:03), L (8:11), 94.3 (8:19(",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAY070,Ankarana_Chauves_Souris_Edup,-12.959336,49.123698,"SG, AA, AG, FR, SA",NA,NA,NA,NA,NA,2019-11-28,87,NA,NA,NA,Eidolon dupreanum,,9.56E+14,no,female,NL,no,no,NA,NA,unknown,302,20.8,131.8,63.5,24,10,8,yes,1,1,0,1,1,0,NA,0,1,1,550,NA,NA,NA,200,2,1,yes,mild,101.1 (11:37),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAY073,Ankarana_Chauves_Souris_Edup,-12.959336,49.123698,"SG, AA, AG, FR, SA",NA,NA,NA,NA,NA,2019-11-28,87,NA,NA,NA,Eidolon dupreanum,,9.56E+14,no,female,J,yes,no,NA,NA,unknown,130,15,103.5,46.2,23.5,small,small,yes,1,4,0,0,3,2,NA,0,1,1,400,NA,NA,NA,100,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
