,sampleid,processing_date,barcode_id,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,net_date,net_open_time,net_close_time,exit_count,capture_time,processing_time_start,processing_time_end,weather,bat_species,duplicated_sampleid,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,fed_bananas_before,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,hair_y_n,wing_punch,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,urine_vial,feces_vial,throat_vial,eppendorf_vol_ul,serum_aliquots_num,rbc_aliquots_num,buffy_coat_aliquots_num,rna_protect_vol_ul,slides_thin_num,slides_thick_num,filter_y_n,toothwear,temperature_f,notes,check_notes_y_n,performed_necropsy,spleen_rna_preserve,liver_rna_preserve,kidney_rna_preserve,brain_rna_preserve,spleen_plain,liver_plain,kidney_plain,brain_plain,liver_aluminum,kidney_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth_num,tooth_type,predicted_mass_g,mass_forearm_residual,recap_new
14,ANGB146,7/27/18,954,Angavobe_Edup,-18.944,47.9491,"CR, AFA, AR, Noe",45,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,male,J,yes,no,NA,NA,unknown,250,18,122.3,57.5,29.3,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,350,NA,NA,NA,200,2,1,yes,new,99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
15,CAT003,9/27/19,9.56E+14,Ankarana_Cathedral_Edup,-12.952901,49.046885,"SG, AA",80,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,female,J,yes,yes,pup,CAT002,unknown,59,10.92,69.3,31.5,17.6,small,small,yes,1,0,0,0,2,0,NA,1,0,1,120,NA,NA,NA,0,2,1,yes,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
16,CAT028,11/5/19,9.56E+14,Ankarana_Cathedral_Edup,-12.952901,49.046885,"SG, AA",84,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,female,J,no,no,NA,NA,unknown,290,20.2,130.1,61.2,25.6,small,small,yes,1,0,0,0,10,0,NA,1,1,1,525,NA,NA,NA,200,2,1,yes,mild,99.4 (10:07),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
17,CAT029,11/5/19,9.56E+14,Ankarana_Cathedral_Edup,-12.952901,49.046885,"SG, AA",84,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,female,J,no,no,NA,NA,unknown,294,20.3,128.4,60.6,29.6,small,small,yes,1,2,0,0,10,0,NA,0,1,1,550,NA,NA,NA,200,2,1,yes,mild,100.8 (10:48),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
18,CAT033,11/5/19,9.56E+14,Ankarana_Cathedral_Edup,-12.952901,49.046885,"SG, AA",84,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,male,J,yes,yes,pup,CAT032,unknown,123,14.89,97.6,45.3,22.4,small,small,yes,1,0,0,0,2,0,NA,0,1,1,400,NA,NA,NA,100,2,1,yes,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
19,KEL158,2/15/18,1084,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,female,J,yes,no,NA,NA,unknown,295,19.8,130.1,56.6,31,2.1,4.2,yes,1,7,NA,3,6,0,NA,0,1,1,200,NA,NA,NA,200,2,2,yes,mild,99.3 (17:04),Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
20,KEL159,2/15/18,1083,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,male,J,yes,no,NA,NA,unknown,275,21.6,122.3,58.2,22,small,small,yes,1,5,NA,0,0,0,NA,1,1,1,200,NA,NA,NA,200,2,2,yes,mild,97.9 (17:21),Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
21,KEL164,2/15/18,1078,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,female,J,yes,no,NA,NA,unknown,230,19.2,112.9,52.6,26.8,small,small,yes,1,10,NA,2,0,0,NA,0,1,1,200,NA,NA,NA,200,2,2,yes,new,100.6 (18:47),Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
22,KEL166,2/15/18,1075,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,female,J,yes,no,NA,NA,unknown,220,18.3,109.3,49.8,27.8,small,small,yes,1,1,NA,0,2,0,NA,1,1,1,200,NA,NA,NA,200,2,2,yes,new,skipped because late and rushed and bats seemed healthy,Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
23,KEL169,2/15/18,9.56E+14,Angavokely_Edup,-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,yes,male,J,yes,no,NA,NA,unknown,205,17.9,107.7,53.1,25.7,small,small,yes,1,7,NA,0,1,0,NA,1,1,1,200,NA,NA,NA,200,2,2,yes,new,Band # 1072; Pit tagged for first time next capture (1/12/2023 KEL665); Band removed on 1/12/2023; skipped because late and rushed and bats seemed healthy,Fed sugar water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
