"barcode_id","sampleid","roost_site","latitude_s","longitude_e","researchers_present","sampling_session","net_date","net_open_time","net_close_time","exit_count","capture_time","processing_date","processing_time_start","processing_time_end","weather","bat_species","duplicated_sampleid","recap","bat_sex","bat_age_class","young_of_year","pupmom_pair","pup_or_mom","sampleid_pupmom_pair","fed_bananas_before","bat_weight_g","body_length_cm","bat_forearm_mm","bat_tibia_mm","ear_length_mm","gonad_length_mm","gonad_width_mm","hair_y_n","wing_punch","bat_flies","meglastreblidae","fleas","mites","ticks","t_star","urine_vial","feces_vial","throat_vial","eppendorf_vol_ul","serum_aliquots_num","rbc_aliquots_num","buffy_coat_aliquots_num","rna_protect_vol_ul","slides_thin_num","slides_thick_num","filter_y_n","toothwear","temperature_f","notes","check_notes_y_n","performed_necropsy","spleen_rna_preserve","liver_rna_preserve","kidney_rna_preserve","brain_rna_preserve","spleen_plain","liver_plain","kidney_plain","brain_plain","liver_aluminum","kidney_aluminum","gonads_aluminum","brain_aluminum","intestines_aluminum","teeth_num","tooth_type","predicted_mass_g","mass_forearm_residual","recap_new","match"
"1067","KEL359","Angavokely_Edup",-18.9327,47.7578,"KR, AA, FR, AG",71,NA,NA,NA,NA,NA,2019-07-07,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL",NA,"no",NA,NA,"unknown",345,"23",135.8,64.1,30.4,"8.1","4.1","yes","1","4","0","0","4",0,NA,0,1,1,250,NA,NA,NA,200,2,"1","yes","mild","100.4 (14:27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"1067","KEL176","Angavokely_Edup",-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,2018-02-16,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL","no","no",NA,NA,"unknown",355,"21.2",132.3,61.9,27,"9.2","11.1","yes","1","5",NA,"6","2",0,NA,0,1,1,200,NA,NA,NA,200,2,"2","yes","moderate","97.8  (8:19)","Fed sugar water and released after processing",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.644261400473,36.355738599527,"yes",1
"1086_969","KEL242","Angavokely_Edup",-18.9327,47.7578,"CB, SG, MA, T, ",56,NA,NA,NA,NA,NA,2019-01-06,NA,NA,NA,"Eidolon dupreanum","","yes","male","A","no","no",NA,NA,"unknown",335,"15.52",125.6,59.7,24.8,"15.2","16.3","yes","1","1",NA,NA,NA,NA,NA,1,1,1,300,NA,NA,NA,200,2,"1","yes","moderate",NA,"bat has 2 tags, recaptured twice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.993925971732,27.0060740282684,"yes",1
"1086_969","KEL217","Angavokely_Edup",-18.9327,47.7578,"CR, AFA, AR, Noe",46,NA,NA,NA,NA,NA,2018-07-27,NA,NA,NA,"Eidolon dupreanum","","yes","male","A","no","no",NA,NA,"unknown",320,"19",124.1,59.7,25.9,"21.6","12.9","yes","1","11",NA,"2","1",0,NA,0,1,1,400,NA,NA,NA,200,2,"0","yes","moderate","96.2","Noemie double-tagged it, so bat also has thumb ring blue 969 on top of its recap; tooth already taken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.478417471624,16.5215825283757,"yes",1
"1086_969","KEL156","Angavokely_Edup",-18.9327,47.7578,"CB, CR, AR, AFA",38,NA,NA,NA,NA,NA,2018-02-15,NA,NA,NA,"Eidolon dupreanum","","yes","male","A","no","no",NA,NA,"unknown",320,"20.8",111.6,48.2,33.7,"3","4.5","yes","1","15",NA,"13","1",0,NA,1,1,1,200,NA,NA,NA,200,2,"2","yes","mild","100 (16:39)","Fed sugar water post-processing then released.",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.346812595139,53.6531874048607,"yes",1
"1607","KEL245","Angavokely_Edup",-18.9327,47.7578,"CB, SG, MA, T, ",56,NA,NA,NA,NA,NA,2019-01-06,NA,NA,NA,"Eidolon dupreanum","","yes","male","A","no","no",NA,NA,"unknown",120,"13.68",123,55.2,26.2,"10.5","10","yes","1","5",NA,NA,NA,NA,NA,1,1,1,400,NA,NA,NA,200,2,"1","yes","moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.174981280368,-180.174981280368,"yes",1
"1607","KEL299","Angavokely_Edup",-18.9327,47.7578,"CB, AA, FR, AG, KR",60,NA,NA,NA,NA,NA,2019-02-06,NA,NA,NA,"Eidolon dupreanum","","yes","male","A","no","no",NA,NA,"unknown",265,"21.2",119.89,61.03,26.6,"14.93","15.87","yes","1",NA,NA,NA,NA,NA,NA,1,1,1,200,NA,NA,NA,200,0,NA,NA,"mild","96.9 (13:36)","maybe young of last year; had a worn band that may be a bit diffiult to read",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.872036335001,-25.8720363350014,"yes",1
"1616","KEL354","Angavokely_Edup",-18.9327,47.7578,"KR, AA, FR, AG",71,NA,NA,NA,NA,NA,2019-07-07,NA,NA,NA,"Eidolon dupreanum","","yes","male","A",NA,"no",NA,NA,"unknown",351,"25",123.2,63.9,27.3,"11.3","8","yes","1","4","0","9","1",0,NA,0,1,1,500,NA,NA,NA,150,2,"1","yes","mild","100.4 (9:04), 97.2 (9:11), 95.4 (9:22), 95.1 (9:28), 94.4 (9:34)",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"1616","KEL250","Angavokely_Edup",-18.9327,47.7578,"CB, SG, MA, T, ",56,NA,NA,NA,NA,NA,2019-01-06,NA,NA,NA,"Eidolon dupreanum","","yes","male","A","no","no",NA,NA,"unknown",184,"15.92",134.5,70.3,24,"16.9","15.8","yes","1","8",NA,NA,"2",NA,NA,1,1,1,500,NA,NA,NA,200,2,"1","yes","moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.036909200407,-151.036909200407,"yes",1
"1736","MIZ359","Maromizaha_Rmad",-18.9623,48.4525,"CB, AG, KR, AA, FR, Vero",59,NA,NA,NA,NA,NA,2019-02-01,NA,NA,NA,"Rousettus madagascariensis","","yes","female","L","no","no",NA,NA,"unknown",65,"11.6",72.82,35.01,11.99,"5.54","5.41","yes","1","13","0","3","5",0,NA,1,1,1,200,NA,NA,NA,80,2,"1","yes","heavy",NA,"Lactating but with no baby. Fed sugar water and released post-processsing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0617266033121,5.93827339668792,"yes",1
"1736","MIZ387","Maromizaha_Rmad",-18.9623,48.4525,"KR, AG, AA, FR",62,NA,NA,NA,NA,NA,2019-02-24,NA,NA,NA,"Rousettus madagascariensis","","yes","female","NL","no","no",NA,NA,"unknown",55,"10.4",72.2,34.8,14.1,"5.6","7.8","yes","1","19","1","21","20",NA,NA,0,1,1,100,NA,NA,NA,80,2,"1","yes","heavy",NA,"infected wing band removed. Gave 2cc LA200. Found dead the following morning. Necropsied",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5268192541664,-3.52681925416643,"yes",1
"209","ANGB81","Angavobe_Edup",-18.944,47.9491,"CB, CR, AR, Bido",25,NA,NA,NA,NA,NA,2015-04-27,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL",NA,NA,NA,NA,"unknown",360,"21.5",130,59.3,28.98,"6.3","8.15","yes",NA,"4",NA,"0","6",NA,NA,0,2,2,600,NA,NA,NA,NA,2,"2","yes","moderate","9.1 (18:20); 98.8 (18:34); 100.7 (19:47); 99.3 (19:55); 97.3 (20:04); 96.8 (20:17); 97.3 (20:20)","Lower left premolar tooth extracted perfectly. Fed sugar water x2 and released at dusk post-processing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"209","KEL2","Angavokely_Edup",-18.9327,47.7578,"CB, CR, Dada",5,NA,NA,NA,NA,NA,2013-11-26,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL",NA,NA,NA,NA,"unknown",330,"19.5",123,50,36,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,0,2,2,400,NA,NA,NA,NA,2,"0","yes",NA,"96.8 (8:08); sub 94 (8:18); sub 94 (8:51); 95.3 (12:15); 97.5 (1:23) 97.5 (17:25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"221","ANGB21","Angavobe_Edup",-18.944,47.9491,"CB, CR, Dada",4,NA,NA,NA,NA,NA,2013-11-24,NA,NA,NA,"Eidolon dupreanum","","yes","female","L",NA,NA,NA,NA,"unknown",300,"22.3",128.1,60.4,29.1,NA,NA,"yes",NA,"0",NA,"1",NA,NA,NA,2,2,2,1000,NA,NA,NA,NA,2,"0","yes",NA,"97.5 (11:46); 97.6 (11:54)","mother to ANGB22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"221","KEL66","Angavokely_Edup",-18.9327,47.7578,"CB, CR, MR",20,NA,NA,NA,NA,NA,2014-12-17,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL",NA,NA,NA,NA,"unknown",300,"17.4",124.1,60.9,32.2,"6.2","12.2","yes",NA,"1",NA,"3","4",NA,NA,0,2,2,1000,NA,NA,NA,NA,2,"2","yes","mild","97.6 (11:34); 1002.5 (11:51); 98 (12:01); 97.2 (12:08); 96.9 (12:13); 96 (12:19); 96 (12:25)","Fed sugar water and released at dusk post-processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"230","KEL55","Angavokely_Edup",-18.9327,47.7578,"CB, CR, MR",13,NA,NA,NA,NA,NA,2014-10-08,NA,NA,NA,"Eidolon dupreanum","","yes","male","A",NA,NA,NA,NA,"unknown",330,"22.3",131.3,68.5,30,"12.3","11.9","yes",NA,"1",NA,"0","3",NA,NA,0,2,2,600,NA,NA,NA,NA,2,"1",NA,"mild","101.4 (22:22); 101.4 (22:29)","Fed sugar water and release at night; RECAPTURE. Already had thumb tag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"230","KEL7","Angavokely_Edup",-18.9327,47.7578,"CB, CR, Dada",5,NA,NA,NA,NA,NA,2013-11-26,NA,NA,NA,"Eidolon dupreanum","","yes","male","A",NA,NA,NA,NA,"unknown",360,"22",121,61,33,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,2,2,2,500,NA,NA,NA,NA,2,"0","yes",NA,"97.5 (11:29); 97.7 (11:36); 97.8 (11:41)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"232","KEL293B","Angavokely_Edup",-18.9327,47.7578,"KR, AG, AA, FR, CR",63,NA,NA,NA,NA,NA,2019-03-15,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL","no","no",NA,NA,"unknown",300,"25",127.5,80.5,25.4,"8.7","7","yes","1",NA,NA,NA,NA,NA,NA,0,1,1,200,NA,NA,NA,200,2,"1","yes","moderate","96.8 (13:27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.933519950849,-3.9335199508489,"yes",1
"232","KEL9","Angavokely_Edup",-18.9327,47.7578,"CB, CR, Dada",5,NA,NA,NA,NA,NA,2013-11-26,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL",NA,NA,NA,NA,"unknown",310,"22.5",123,57,26,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,2,2,2,1000,NA,NA,NA,NA,2,"0","yes",NA,"97.6 (12:33); 97.9 (12:43); ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"244","KEL20","Angavokely_Edup",-18.9327,47.7578,"CB, CR, Dada",5,NA,NA,NA,NA,NA,2013-11-26,NA,NA,NA,"Eidolon dupreanum","","yes","female","L",NA,NA,NA,NA,"unknown",300,"21.2",126,62.4,32.2,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,2,2,2,400,NA,NA,NA,NA,2,"0","yes",NA,"100.5 (16:35); 102.2 (16:55); 101.9 (17:05)","mother to KEL21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"244","KEL189","Angavokely_Edup",-18.9327,47.7578,"CR, AFA, AR",42,NA,NA,NA,NA,NA,2018-04-10,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL","no","no",NA,NA,"unknown",320,"22",128.9,64.2,24.3,"9.3","6.2","yes","1","3",NA,"0","7",0,NA,0,1,1,300,NA,NA,NA,200,2,"1","yes","mild","97.5 (9:36)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.208456841796,11.7915431582039,"yes",1
"245","KEL296B","Angavokely_Edup",-18.9327,47.7578,"KR, AG, AA, FR, CR",63,NA,NA,NA,NA,NA,2019-03-15,NA,NA,NA,"Eidolon dupreanum","","yes","female","NL","no","no",NA,NA,"unknown",290,"20",127.6,61.7,26.1,"5.5","7.4","yes","1","2",NA,NA,"1",NA,NA,NA,1,1,200,NA,NA,NA,200,2,"1","yes","mild","98 (15:51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.238440150797,-14.2384401507975,"yes",1
"245","KEL24","Angavokely_Edup",-18.9327,47.7578,"CB, CR, Dada",5,NA,NA,NA,NA,NA,2013-11-26,NA,NA,NA,"Eidolon dupreanum","","yes","female","L",NA,NA,NA,NA,"unknown",280,"22.4",127,61.4,30.2,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,2,2,2,700,NA,NA,NA,NA,2,"0","yes",NA,"106.6 (17:33); 101.8 (17:38); 100.1 (17:49)","mother to KEL25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
"246","KEL26","Angavokely_Edup",-18.9327,47.7578,"CB, CR, Dada",5,NA,NA,NA,NA,NA,2013-11-26,NA,NA,NA,"Eidolon dupreanum","","yes","female","L",NA,NA,NA,NA,"unknown",310,"23.7",132,63.5,31.2,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,0,2,2,700,NA,NA,NA,NA,2,"0","yes",NA,"96.4 (18:25); 97.7 (18:21); 97.9 (18:37)","mother to KEL27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1
