sampleid,age,sex,species,aging_method,extracted
KEL698,0.008219178,F,Eidolon_dupreanum,juvenile,
KEL704,0.010958904,F,Eidolon_dupreanum,juvenile,
TSI045,0.010958904,F,Pteropus_rufus,juvenile,
ANGB12,0.016438356,F,Eidolon_dupreanum,juvenile,
ANGB15,0.019178082,F,Eidolon_dupreanum,juvenile,
ANGB19,0.019178082,F,Eidolon_dupreanum,juvenile,
ANGB20,0.019178082,F,Eidolon_dupreanum,juvenile,
ANGB28,0.019178082,F,Eidolon_dupreanum,juvenile,
MIZ257,0.019178082,F,Rousettus_madagascariensis,juvenile,
MIZ259,0.019178082,F,Rousettus_madagascariensis,juvenile,
MIZ267,0.021917808,F,Rousettus_madagascariensis,juvenile,
MIZ268,0.021917808,F,Rousettus_madagascariensis,juvenile,
KEL21,0.024657534,F,Eidolon_dupreanum,juvenile,
KEL25,0.024657534,F,Eidolon_dupreanum,juvenile,
WAY073,0.030136986,F,Eidolon_dupreanum,juvenile,
WAY081,0.032876712,F,Eidolon_dupreanum,juvenile,
WAY083,0.032876712,F,Eidolon_dupreanum,juvenile,
ANA014,0.043835616,F,Pteropus_rufus,juvenile,
ANA016,0.043835616,F,Pteropus_rufus,juvenile,
ANA020,0.046575342,F,Pteropus_rufus,juvenile,
MIZ288,0.057534247,F,Rousettus_madagascariensis,juvenile,
MIZ289,0.057534247,F,Rousettus_madagascariensis,juvenile,
MIZ290,0.057534247,F,Rousettus_madagascariensis,juvenile,
MIZ307,0.065753425,F,Rousettus_madagascariensis,juvenile,
MIZ310,0.071232877,F,Rousettus_madagascariensis,juvenile,
MIZ311,0.071232877,F,Rousettus_madagascariensis,juvenile,
ANGB43,0.073972603,F,Eidolon_dupreanum,juvenile,
ANGB46,0.073972603,F,Eidolon_dupreanum,juvenile,
ANGB47,0.073972603,F,Eidolon_dupreanum,juvenile,
MIZ324,0.073972603,F,Rousettus_madagascariensis,juvenile,
MIZ328,0.073972603,F,Rousettus_madagascariensis,juvenile,
MIZ335,0.076712329,F,Rousettus_madagascariensis,juvenile,
MIZ337,0.076712329,F,Rousettus_madagascariensis,juvenile,
TSI056,0.079452055,F,Pteropus_rufus,juvenile,
TSI059,0.084931507,F,Pteropus_rufus,juvenile,
MIZ891,0.090410959,F,Rousettus_madagascariensis,juvenile,
MIZ892,0.090410959,F,Rousettus_madagascariensis,juvenile,
MIZ893,0.090410959,F,Rousettus_madagascariensis,juvenile,
MIZ894,0.090410959,F,Rousettus_madagascariensis,juvenile,
MIZ897,0.090410959,F,Rousettus_madagascariensis,juvenile,
MARO3,0.095890411,F,Pteropus_rufus,juvenile,
MARO11,0.106849315,F,Pteropus_rufus,juvenile,
MARO13,0.106849315,F,Pteropus_rufus,juvenile,
MIZ113,0.109589041,F,Rousettus_madagascariensis,juvenile,
MIZ121,0.109589041,F,Rousettus_madagascariensis,juvenile,
MIZ122,0.109589041,F,Rousettus_madagascariensis,juvenile,
MIZ128,0.109589041,F,Rousettus_madagascariensis,juvenile,
MIZ134,0.109589041,F,Rousettus_madagascariensis,juvenile,
AMB14,0.134246575,F,Pteropus_rufus,juvenile,
MIZ343,0.134246575,F,Rousettus_madagascariensis,juvenile,
MIZ344,0.134246575,F,Rousettus_madagascariensis,juvenile,
MIZ345,0.134246575,F,Rousettus_madagascariensis,juvenile,
MIZ612,0.134246575,F,Rousettus_madagascariensis,juvenile,
MIZ613,0.134246575,F,Rousettus_madagascariensis,juvenile,
MIZ365,0.136986301,F,Rousettus_madagascariensis,juvenile,
KEL259,0.142465753,F,Eidolon_dupreanum,juvenile,
KEL674,0.156164384,F,Eidolon_dupreanum,juvenile,
ANA027,0.164383562,F,Pteropus_rufus,juvenile,
MARO50,0.164383562,F,Pteropus_rufus,juvenile,
ANA034,0.167123288,F,Pteropus_rufus,juvenile,
MARO57,0.167123288,F,Pteropus_rufus,juvenile,
ANA039,0.169863014,F,Pteropus_rufus,juvenile,
ANA041,0.169863014,F,Pteropus_rufus,juvenile,
ANA043,0.169863014,F,Pteropus_rufus,juvenile,
ANA045,0.169863014,F,Pteropus_rufus,juvenile,
ANA051,0.17260274,F,Pteropus_rufus,juvenile,
MARO61,0.17260274,F,Pteropus_rufus,juvenile,
MARO62,0.17260274,F,Pteropus_rufus,juvenile,
MIZ898,0.175342466,F,Rousettus_madagascariensis,juvenile,
MIZ915,0.175342466,F,Rousettus_madagascariensis,juvenile,
MIZ923,0.175342466,F,Rousettus_madagascariensis,juvenile,
AMB41,0.180821918,F,Pteropus_rufus,juvenile,
MIZ135,0.183561644,F,Rousettus_madagascariensis,juvenile,
MIZ137,0.183561644,F,Rousettus_madagascariensis,juvenile,
MIZ144,0.183561644,F,Rousettus_madagascariensis,juvenile,
AMB51,0.18630137,F,Pteropus_rufus,juvenile,
MIZ156,0.18630137,F,Rousettus_madagascariensis,juvenile,
MIZ158,0.18630137,F,Rousettus_madagascariensis,juvenile,
MIZ160,0.18630137,F,Rousettus_madagascariensis,juvenile,
AMB53,0.189041096,F,Pteropus_rufus,juvenile,
AMB56,0.189041096,F,Pteropus_rufus,juvenile,
AMB58,0.191780822,F,Pteropus_rufus,juvenile,
AMB60,0.191780822,F,Pteropus_rufus,juvenile,
MIZ372,0.197260274,F,Rousettus_madagascariensis,juvenile,
MIZ373,0.197260274,F,Rousettus_madagascariensis,juvenile,
MIZ378,0.197260274,F,Rousettus_madagascariensis,juvenile,
MIZ379,0.197260274,F,Rousettus_madagascariensis,juvenile,
MIZ382,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ383,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ386,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ389,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ390,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ391,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ392,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ394,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ399,0.2,F,Rousettus_madagascariensis,juvenile,
MIZ651,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ652,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ653,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ656,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ657,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ662,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ665,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ672,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ678,0.208219178,F,Rousettus_madagascariensis,juvenile,
MIZ680,0.208219178,F,Rousettus_madagascariensis,juvenile,
KEL462,0.210958904,F,Eidolon_dupreanum,juvenile,
KEL468,0.210958904,F,Eidolon_dupreanum,juvenile,
MLB007,0.216438356,F,Pteropus_rufus,juvenile,
KEL286,0.219178082,F,Eidolon_dupreanum,juvenile,
KEL715,0.24109589,F,Eidolon_dupreanum,juvenile,
KEL717,0.24109589,F,Eidolon_dupreanum,juvenile,
KEL722,0.24109589,F,Eidolon_dupreanum,juvenile,
KEL723,0.24109589,F,Eidolon_dupreanum,juvenile,
KEL727,0.24109589,F,Eidolon_dupreanum,juvenile,
KEL735,0.24109589,F,Eidolon_dupreanum,juvenile,
KEL736,0.24109589,F,Eidolon_dupreanum,juvenile,
MIZ643,0.24109589,F,Rousettus_madagascariensis,juvenile,
MIZ646,0.24109589,F,Rousettus_madagascariensis,juvenile,
KEL730,0.243835616,F,Eidolon_dupreanum,juvenile,
KEL158,0.246575342,F,Eidolon_dupreanum,juvenile,
KEL164,0.246575342,F,Eidolon_dupreanum,juvenile,
KEL166,0.246575342,F,Eidolon_dupreanum,juvenile,
MIZ940,0.254794521,F,Rousettus_madagascariensis,juvenile,
MIZ945,0.254794521,F,Rousettus_madagascariensis,juvenile,
MIZ947,0.254794521,F,Rousettus_madagascariensis,juvenile,
MIZ953,0.254794521,F,Rousettus_madagascariensis,juvenile,
MIZ954,0.254794521,F,Rousettus_madagascariensis,juvenile,
MIZ681,0.257534247,F,Rousettus_madagascariensis,juvenile,
MIZ687,0.257534247,F,Rousettus_madagascariensis,juvenile,
MIZ688,0.257534247,F,Rousettus_madagascariensis,juvenile,
MIZ690,0.257534247,F,Rousettus_madagascariensis,juvenile,
MIZ691,0.260273973,F,Rousettus_madagascariensis,juvenile,
MIZ693,0.260273973,F,Rousettus_madagascariensis,juvenile,
ROU72,0.290410959,F,Rousettus_madagascariensis,juvenile,
AMB97,0.298630137,F,Pteropus_rufus,juvenile,
AMB101,0.301369863,F,Pteropus_rufus,juvenile,
AMB102,0.301369863,F,Pteropus_rufus,juvenile,
AMB104,0.301369863,F,Pteropus_rufus,juvenile,
AMB109,0.304109589,F,Pteropus_rufus,juvenile,
AMB115,0.306849315,F,Pteropus_rufus,juvenile,
AMB121,0.309589041,F,Pteropus_rufus,juvenile,
KEL469,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL470,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL472,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL473,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL475,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL476,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL477,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL478,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL479,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL480,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL484,0.312328767,F,Eidolon_dupreanum,juvenile,
KEL460B,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL463B,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL467B,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL468B,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL499,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL501,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL504,0.315068493,F,Eidolon_dupreanum,juvenile,
KEL515,0.317808219,F,Eidolon_dupreanum,juvenile,
KEL738,0.317808219,F,Eidolon_dupreanum,juvenile,
KEL741,0.317808219,F,Eidolon_dupreanum,juvenile,
KEL744,0.317808219,F,Eidolon_dupreanum,juvenile,
MIZ976,0.331506849,F,Rousettus_madagascariensis,juvenile,
MIZ154,0.333333333,F,Rousettus_madagascariensis,tooth,
ANA059,0.334246575,F,Pteropus_rufus,juvenile,
ANA061,0.334246575,F,Pteropus_rufus,juvenile,
ANA062,0.334246575,F,Pteropus_rufus,juvenile,
ANA069,0.336986301,F,Pteropus_rufus,juvenile,
ANA074,0.339726027,F,Pteropus_rufus,juvenile,
ANA079,0.342465753,F,Pteropus_rufus,juvenile,
ANA083,0.342465753,F,Pteropus_rufus,juvenile,
MIZ77,0.364383562,F,Rousettus_madagascariensis,juvenile,
AMB161,0.37260274,F,Pteropus_rufus,juvenile,
KEL193,0.394520548,F,Eidolon_dupreanum,juvenile,
KEL206,0.394520548,F,Eidolon_dupreanum,juvenile,
AMB124,0.4,F,Pteropus_rufus,juvenile,
AMB127,0.402739726,F,Pteropus_rufus,juvenile,
AMB128,0.405479452,F,Pteropus_rufus,juvenile,
MIZ705,0.405479452,F,Rousettus_madagascariensis,juvenile,
MIZ706,0.405479452,F,Rousettus_madagascariensis,juvenile,
MIZ711,0.405479452,F,Rousettus_madagascariensis,juvenile,
TSI066,0.405479452,F,Pteropus_rufus,juvenile,
KEL770,0.410958904,F,Eidolon_dupreanum,juvenile,
MARO083,0.41369863,F,Pteropus_rufus,juvenile,
MARO085,0.41369863,F,Pteropus_rufus,juvenile,
MARO086,0.41369863,F,Pteropus_rufus,juvenile,
MARO088,0.41369863,F,Pteropus_rufus,juvenile,
TSI071,0.41369863,F,Pteropus_rufus,juvenile,
AMB137,0.416438356,F,Pteropus_rufus,juvenile,
MARO097,0.419178082,F,Pteropus_rufus,juvenile,
MARO101,0.419178082,F,Pteropus_rufus,juvenile,
MARO104,0.421917808,F,Pteropus_rufus,juvenile,
MARO107,0.421917808,F,Pteropus_rufus,juvenile,
MARO111,0.42739726,F,Pteropus_rufus,juvenile,
KEL327,0.430136986,F,Eidolon_dupreanum,juvenile,
MIZ430,0.435616438,F,Rousettus_madagascariensis,juvenile,
MIZ437,0.435616438,F,Rousettus_madagascariensis,juvenile,
MIZ448,0.438356164,F,Rousettus_madagascariensis,juvenile,
MIZ1001,0.446575342,F,Rousettus_madagascariensis,juvenile,
MIZ1004,0.446575342,F,Rousettus_madagascariensis,juvenile,
MARO74,0.452054795,F,Pteropus_rufus,juvenile,
MARO76,0.457534247,F,Pteropus_rufus,juvenile,
ANA084,0.487671233,F,Pteropus_rufus,juvenile,
ANA090,0.493150685,F,Pteropus_rufus,juvenile,
ANA092,0.495890411,F,Pteropus_rufus,juvenile,
ANA098,0.498630137,F,Pteropus_rufus,juvenile,
ANGB10,0.5,F,Eidolon_dupreanum,tooth,
CDG227,0.5,F,Rousettus_madagascariensis,tooth,
KEL270B,0.5,F,Eidolon_dupreanum,tooth,
ROU242,0.501369863,F,Rousettus_madagascariensis,juvenile,
ANA103,0.504109589,F,Pteropus_rufus,juvenile,
ANA105,0.506849315,F,Pteropus_rufus,juvenile,
ANA106,0.506849315,F,Pteropus_rufus,juvenile,
ROU248,0.509589041,F,Rousettus_madagascariensis,juvenile,
AMB140,0.542465753,F,Pteropus_rufus,juvenile,
ROU216,0.547945205,F,Rousettus_madagascariensis,juvenile,
MIZ458,0.553424658,F,Rousettus_madagascariensis,juvenile,
MIZ461,0.553424658,F,Rousettus_madagascariensis,juvenile,
MIZ462,0.553424658,F,Rousettus_madagascariensis,juvenile,
MIZ463,0.553424658,F,Rousettus_madagascariensis,juvenile,
ROU226,0.553424658,F,Rousettus_madagascariensis,juvenile,
TSI083,0.567123288,F,Pteropus_rufus,juvenile,
ANGB87,0.594520548,F,Eidolon_dupreanum,juvenile,
ANGB109,0.597260274,F,Eidolon_dupreanum,juvenile,
MIZ744,0.597260274,F,Rousettus_madagascariensis,juvenile,
MIZ745,0.597260274,F,Rousettus_madagascariensis,juvenile,
MARO77,0.621917808,F,Pteropus_rufus,juvenile,
MIZ193,0.624657534,F,Rousettus_madagascariensis,juvenile,
MARO81,0.630136986,F,Pteropus_rufus,juvenile,
ROU14,0.632876712,F,Rousettus_madagascariensis,juvenile,
ROU15,0.632876712,F,Rousettus_madagascariensis,juvenile,
ROU16,0.632876712,F,Rousettus_madagascariensis,juvenile,
ROU3,0.632876712,F,Rousettus_madagascariensis,juvenile,
ROU7,0.632876712,F,Rousettus_madagascariensis,juvenile,
ROU8,0.632876712,F,Rousettus_madagascariensis,juvenile,
ROU9,0.632876712,F,Rousettus_madagascariensis,juvenile,
KEL363,0.635616438,F,Eidolon_dupreanum,juvenile,
EMA4,0.654794521,F,Eidolon_dupreanum,juvenile,
EMA6,0.654794521,F,Eidolon_dupreanum,juvenile,
ROU113,0.660273973,F,Rousettus_madagascariensis,juvenile,
KEL613,0.679452055,F,Eidolon_dupreanum,juvenile,
KEL215,0.690410959,F,Eidolon_dupreanum,juvenile,
KEL228,0.690410959,F,Eidolon_dupreanum,juvenile,
MIZ472,0.690410959,F,Rousettus_madagascariensis,juvenile,
TSI003,0.712328767,F,Pteropus_rufus,juvenile,
MIZ225,0.745205479,F,Rousettus_madagascariensis,juvenile,
MIZ231,0.745205479,F,Rousettus_madagascariensis,juvenile,
MIZ232,0.745205479,F,Rousettus_madagascariensis,juvenile,
MIZ234,0.745205479,F,Rousettus_madagascariensis,juvenile,
MIZ504,0.764383562,F,Rousettus_madagascariensis,juvenile,
MIZ512,0.767123288,F,Rousettus_madagascariensis,juvenile,
MAK5,0.77260274,F,Pteropus_rufus,juvenile,
MAK6,0.775342466,F,Pteropus_rufus,juvenile,
ROU119,0.78630137,F,Rousettus_madagascariensis,juvenile,
ROU132,0.794520548,F,Rousettus_madagascariensis,juvenile,
ROU137,0.794520548,F,Rousettus_madagascariensis,juvenile,
ROU139,0.794520548,F,Rousettus_madagascariensis,juvenile,
ROU140,0.794520548,F,Rousettus_madagascariensis,juvenile,
ROU141,0.794520548,F,Rousettus_madagascariensis,juvenile,
TSI005,0.794520548,F,Pteropus_rufus,juvenile,
TSI009,0.802739726,F,Pteropus_rufus,juvenile,
MIZ523,0.838356164,F,Rousettus_madagascariensis,juvenile,
MIZ533,0.838356164,F,Rousettus_madagascariensis,juvenile,
MIZ547,0.84109589,F,Rousettus_madagascariensis,juvenile,
AMB154,0.852054795,F,Pteropus_rufus,juvenile,
CAT003,0.860273973,F,Eidolon_dupreanum,juvenile,
ANA006,0.863013699,F,Pteropus_rufus,juvenile,
KEL631,0.865753425,F,Eidolon_dupreanum,juvenile,
KEL641,0.865753425,F,Eidolon_dupreanum,juvenile,
WAY009,0.871232877,F,Eidolon_dupreanum,juvenile,
WAY010,0.871232877,F,Eidolon_dupreanum,juvenile,
WAY022,0.873972603,F,Eidolon_dupreanum,juvenile,
RTC012,0.895890411,F,Rousettus_madagascariensis,juvenile,
ROU146,0.901369863,F,Rousettus_madagascariensis,juvenile,
ROU154,0.901369863,F,Rousettus_madagascariensis,juvenile,
KEL391,0.915068493,F,Eidolon_dupreanum,juvenile,
MIZ546,0.917808219,F,Rousettus_madagascariensis,juvenile,
MARO43,0.920547945,F,Pteropus_rufus,juvenile,
MIZ811,0.931506849,F,Rousettus_madagascariensis,juvenile,
MIZ814,0.934246575,F,Rousettus_madagascariensis,juvenile,
WAY032,0.956164384,F,Eidolon_dupreanum,juvenile,
WAY034,0.956164384,F,Eidolon_dupreanum,juvenile,
WAY036,0.956164384,F,Eidolon_dupreanum,juvenile,
WAY037,0.956164384,F,Eidolon_dupreanum,juvenile,
WAY038,0.956164384,F,Eidolon_dupreanum,juvenile,
WAY044,0.95890411,F,Eidolon_dupreanum,juvenile,
WAY046,0.95890411,F,Eidolon_dupreanum,juvenile,
ROU195,0.964383562,F,Rousettus_madagascariensis,juvenile,
CAT028,0.967123288,F,Eidolon_dupreanum,juvenile,
CAT029,0.967123288,F,Eidolon_dupreanum,juvenile,
MNG001,0.97260274,F,Pteropus_rufus,juvenile,
MIZ856,0.975342466,F,Rousettus_madagascariensis,juvenile,
MNG002,0.975342466,F,Pteropus_rufus,juvenile,
KEL402,0.997260274,F,Eidolon_dupreanum,juvenile,
TSI040,0.997260274,F,Pteropus_rufus,juvenile,
AMB110,1,F,Pteropus_rufus,tooth,
AMB118,1,F,Pteropus_rufus,tooth,
AMB119,1,F,Pteropus_rufus,tooth,
AMB129,1,F,Pteropus_rufus,tooth,
AMB149,1,F,Pteropus_rufus,tooth,
AMB155,1,F,Pteropus_rufus,tooth,
AMB65,1,F,Pteropus_rufus,tooth,
AMB87,1,F,Pteropus_rufus,tooth,
AMB88,1,F,Pteropus_rufus,tooth,
AMB91,1,F,Pteropus_rufus,tooth,
AMB93,1,F,Pteropus_rufus,tooth,
ANGB117,1,F,Eidolon_dupreanum,tooth,
ANGB130,1,F,Eidolon_dupreanum,tooth,
ANGB131,1,F,Eidolon_dupreanum,tooth,
ANGB52,1,F,Eidolon_dupreanum,tooth,
