sampleid,bat_species,antigen,MFI,seropos_80_cutoff
MIZ243,Rousettus madagascariensis,BDBV,702.5,0
MIZ244,Rousettus madagascariensis,BDBV,49,0
MIZ245,Rousettus madagascariensis,BDBV,39.5,0
MIZ246,Rousettus madagascariensis,BDBV,93.5,0
MIZ247,Rousettus madagascariensis,BDBV,9949.5,1
MIZ248,Rousettus madagascariensis,BDBV,355.5,0
MIZ249,Rousettus madagascariensis,BDBV,99.5,0
MIZ250,Rousettus madagascariensis,BDBV,581,0
MIZ251,Rousettus madagascariensis,BDBV,206.5,0
MIZ252,Rousettus madagascariensis,BDBV,4580.5,0
MIZ253,Rousettus madagascariensis,BDBV,79,0
MIZ254,Rousettus madagascariensis,BDBV,346.5,0
MIZ260,Rousettus madagascariensis,BDBV,313.5,0
MIZ261,Rousettus madagascariensis,BDBV,271.5,0
MIZ262,Rousettus madagascariensis,BDBV,248.5,0
MIZ264,Rousettus madagascariensis,BDBV,1196.5,0
MIZ267,Rousettus madagascariensis,BDBV,2688,0
MIZ269,Rousettus madagascariensis,BDBV,285.5,0
MIZ270,Rousettus madagascariensis,BDBV,105.5,0
MIZ271,Rousettus madagascariensis,BDBV,81.5,0
MIZ273,Rousettus madagascariensis,BDBV,173,0
MIZ274,Rousettus madagascariensis,BDBV,767.5,0
MIZ275,Rousettus madagascariensis,BDBV,184.5,0
MIZ276,Rousettus madagascariensis,BDBV,447.5,0
MIZ277,Rousettus madagascariensis,BDBV,66,0
MIZ278,Rousettus madagascariensis,BDBV,68.5,0
MIZ279,Rousettus madagascariensis,BDBV,882.5,0
MIZ280,Rousettus madagascariensis,BDBV,269.5,0
MIZ281,Rousettus madagascariensis,BDBV,194.5,0
MIZ282,Rousettus madagascariensis,BDBV,569.5,0
MIZ283,Rousettus madagascariensis,BDBV,568,0
MIZ285,Rousettus madagascariensis,BDBV,66,0
MIZ290,Rousettus madagascariensis,BDBV,147.5,0
MIZ291,Rousettus madagascariensis,BDBV,819.5,0
MIZ292,Rousettus madagascariensis,BDBV,9246,1
MIZ293,Rousettus madagascariensis,BDBV,236.5,0
MIZ294,Rousettus madagascariensis,BDBV,898,0
MIZ295,Rousettus madagascariensis,BDBV,56,0
MIZ297,Rousettus madagascariensis,BDBV,434.5,0
MIZ298,Rousettus madagascariensis,BDBV,57.5,0
MIZ299,Rousettus madagascariensis,BDBV,188.5,0
MIZ300,Rousettus madagascariensis,BDBV,818.5,0
MIZ301,Rousettus madagascariensis,BDBV,76.5,0
MIZ302,Rousettus madagascariensis,BDBV,132.5,0
MIZ303,Rousettus madagascariensis,BDBV,205.5,0
MIZ308,Rousettus madagascariensis,BDBV,505.5,0
MIZ309,Rousettus madagascariensis,BDBV,141.5,0
MIZ314,Rousettus madagascariensis,BDBV,416,0
MIZ316,Rousettus madagascariensis,BDBV,103.5,0
MIZ317,Rousettus madagascariensis,BDBV,3395.5,0
MIZ318,Rousettus madagascariensis,BDBV,549,0
MIZ319,Rousettus madagascariensis,BDBV,542.5,0
MIZ320,Rousettus madagascariensis,BDBV,718.5,0
MIZ321,Rousettus madagascariensis,BDBV,858.5,0
MIZ322,Rousettus madagascariensis,BDBV,5699,1
MIZ329,Rousettus madagascariensis,BDBV,2158.5,0
MIZ330,Rousettus madagascariensis,BDBV,150.5,0
MIZ331,Rousettus madagascariensis,BDBV,927.5,0
MIZ332,Rousettus madagascariensis,BDBV,7925,1
MIZ333,Rousettus madagascariensis,BDBV,547.5,0
MIZ334,Rousettus madagascariensis,BDBV,165,0
MIZ338,Rousettus madagascariensis,BDBV,466.5,0
MIZ339,Rousettus madagascariensis,BDBV,8644.5,1
MIZ340,Rousettus madagascariensis,BDBV,186.5,0
MIZ341,Rousettus madagascariensis,BDBV,320.5,0
MIZ342,Rousettus madagascariensis,BDBV,56.5,0
MIZ346,Rousettus madagascariensis,BDBV,258.5,0
MIZ347,Rousettus madagascariensis,BDBV,117.5,0
MIZ348,Rousettus madagascariensis,BDBV,196.5,0
MIZ349,Rousettus madagascariensis,BDBV,276,0
MIZ352,Rousettus madagascariensis,BDBV,559.5,0
MIZ353,Rousettus madagascariensis,BDBV,234,0
MIZ354,Rousettus madagascariensis,BDBV,356.5,0
MIZ355,Rousettus madagascariensis,BDBV,97.5,0
MIZ356,Rousettus madagascariensis,BDBV,1237.5,0
MIZ357,Rousettus madagascariensis,BDBV,176.5,0
MIZ358,Rousettus madagascariensis,BDBV,14140.5,1
MIZ359,Rousettus madagascariensis,BDBV,269.5,0
MIZ360,Rousettus madagascariensis,BDBV,671.5,0
MIZ361,Rousettus madagascariensis,BDBV,559,0
MIZ362,Rousettus madagascariensis,BDBV,700,0
MIZ363,Rousettus madagascariensis,BDBV,83.5,0
MIZ366,Rousettus madagascariensis,BDBV,44,0
MIZ367,Rousettus madagascariensis,BDBV,244,0
MIZ368,Rousettus madagascariensis,BDBV,589,0
MIZ369,Rousettus madagascariensis,BDBV,256,0
MIZ372,Rousettus madagascariensis,BDBV,44,0
MIZ373,Rousettus madagascariensis,BDBV,46,0
MIZ374,Rousettus madagascariensis,BDBV,22.5,0
MIZ375,Rousettus madagascariensis,BDBV,532,0
MIZ376,Rousettus madagascariensis,BDBV,241,0
MIZ377,Rousettus madagascariensis,BDBV,386,0
MIZ379,Rousettus madagascariensis,BDBV,27.5,0
MIZ382,Rousettus madagascariensis,BDBV,24,0
MIZ383,Rousettus madagascariensis,BDBV,42,0
MIZ384,Rousettus madagascariensis,BDBV,446.5,0
MIZ385,Rousettus madagascariensis,BDBV,49,0
MIZ386,Rousettus madagascariensis,BDBV,96,0
MIZ387,Rousettus madagascariensis,BDBV,159,0
MIZ389,Rousettus madagascariensis,BDBV,63,0
MIZ390,Rousettus madagascariensis,BDBV,32,0
MIZ391,Rousettus madagascariensis,BDBV,60.5,0
MIZ392,Rousettus madagascariensis,BDBV,225.5,0
MIZ393,Rousettus madagascariensis,BDBV,180,0
MIZ394,Rousettus madagascariensis,BDBV,52,0
MIZ395,Rousettus madagascariensis,BDBV,48,0
MIZ396,Rousettus madagascariensis,BDBV,88,0
MIZ397,Rousettus madagascariensis,BDBV,430.5,0
MIZ398,Rousettus madagascariensis,BDBV,147,0
MIZ399,Rousettus madagascariensis,BDBV,17,0
MIZ400,Rousettus madagascariensis,BDBV,373,0
MIZ401,Rousettus madagascariensis,BDBV,38,0
MIZ403,Rousettus madagascariensis,BDBV,66,0
MIZ404,Rousettus madagascariensis,BDBV,69,0
MIZ405,Rousettus madagascariensis,BDBV,94,0
MIZ407,Rousettus madagascariensis,BDBV,317,0
MIZ408,Rousettus madagascariensis,BDBV,6099,1
MIZ409,Rousettus madagascariensis,BDBV,342,0
MIZ410,Rousettus madagascariensis,BDBV,409,0
MIZ411,Rousettus madagascariensis,BDBV,103.5,0
MIZ412,Rousettus madagascariensis,BDBV,64,0
MIZ413,Rousettus madagascariensis,BDBV,46,0
MIZ414,Rousettus madagascariensis,BDBV,26,0
MIZ415,Rousettus madagascariensis,BDBV,172,0
MIZ416,Rousettus madagascariensis,BDBV,227,0
MIZ417,Rousettus madagascariensis,BDBV,70,0
MIZ418,Rousettus madagascariensis,BDBV,167.5,0
MIZ419,Rousettus madagascariensis,BDBV,92,0
MIZ420,Rousettus madagascariensis,BDBV,354,0
MIZ421,Rousettus madagascariensis,BDBV,22,0
MIZ422,Rousettus madagascariensis,BDBV,507,0
MIZ423,Rousettus madagascariensis,BDBV,107,0
MIZ424,Rousettus madagascariensis,BDBV,5694,1
MIZ425,Rousettus madagascariensis,BDBV,111,0
MIZ426,Rousettus madagascariensis,BDBV,82.5,0
MIZ427,Rousettus madagascariensis,BDBV,8,0
MIZ428,Rousettus madagascariensis,BDBV,74,0
MIZ429,Rousettus madagascariensis,BDBV,319,0
MIZ430,Rousettus madagascariensis,BDBV,34,0
MIZ431,Rousettus madagascariensis,BDBV,138,0
MIZ432,Rousettus madagascariensis,BDBV,23219,1
MIZ433,Rousettus madagascariensis,BDBV,70,0
MIZ435,Rousettus madagascariensis,BDBV,4446,0
MIZ437,Rousettus madagascariensis,BDBV,564,0
MIZ438,Rousettus madagascariensis,BDBV,542,0
MIZ439,Rousettus madagascariensis,BDBV,18568,1
MIZ440,Rousettus madagascariensis,BDBV,1583,0
MIZ441,Rousettus madagascariensis,BDBV,1902.5,0
MIZ442,Rousettus madagascariensis,BDBV,97,0
MIZ443,Rousettus madagascariensis,BDBV,188.5,0
MIZ444,Rousettus madagascariensis,BDBV,372.75,0
MIZ445,Rousettus madagascariensis,BDBV,92.75,0
MIZ446,Rousettus madagascariensis,BDBV,978.75,0
MIZ447,Rousettus madagascariensis,BDBV,184.75,0
MIZ448,Rousettus madagascariensis,BDBV,120.75,0
MIZ449,Rousettus madagascariensis,BDBV,1106.75,0
MIZ450,Rousettus madagascariensis,BDBV,58.75,0
MIZ453,Rousettus madagascariensis,BDBV,278.5,0
MIZ454,Rousettus madagascariensis,BDBV,818.5,0
MIZ455,Rousettus madagascariensis,BDBV,489,0
MIZ456,Rousettus madagascariensis,BDBV,86,0
MIZ457,Rousettus madagascariensis,BDBV,343,0
MIZ458,Rousettus madagascariensis,BDBV,796.5,0
MIZ459,Rousettus madagascariensis,BDBV,56,0
MIZ460,Rousettus madagascariensis,BDBV,518,0
MIZ461,Rousettus madagascariensis,BDBV,66,0
MIZ462,Rousettus madagascariensis,BDBV,38,0
MIZ463,Rousettus madagascariensis,BDBV,384,0
MIZ464,Rousettus madagascariensis,BDBV,311,0
MIZ465,Rousettus madagascariensis,BDBV,410.5,0
MIZ466,Rousettus madagascariensis,BDBV,108,0
MIZ467,Rousettus madagascariensis,BDBV,21532.75,1
MIZ468,Rousettus madagascariensis,BDBV,2185.75,0
MIZ469,Rousettus madagascariensis,BDBV,243.75,0
MIZ470,Rousettus madagascariensis,BDBV,277.25,0
MIZ471,Rousettus madagascariensis,BDBV,558.75,0
MIZ472,Rousettus madagascariensis,BDBV,1753.25,0
MIZ473,Rousettus madagascariensis,BDBV,372.75,0
MIZ474,Rousettus madagascariensis,BDBV,51.75,0
MIZ475,Rousettus madagascariensis,BDBV,1062.25,0
MIZ477,Rousettus madagascariensis,BDBV,324.25,0
MIZ479,Rousettus madagascariensis,BDBV,137.75,0
MIZ480,Rousettus madagascariensis,BDBV,404.75,0
MIZ481,Rousettus madagascariensis,BDBV,210.25,0
MIZ482,Rousettus madagascariensis,BDBV,174.75,0
MIZ483,Rousettus madagascariensis,BDBV,88.75,0
MIZ484,Rousettus madagascariensis,BDBV,80.75,0
MIZ485,Rousettus madagascariensis,BDBV,105.75,0
MIZ486,Rousettus madagascariensis,BDBV,224.75,0
MIZ487,Rousettus madagascariensis,BDBV,401.75,0
MIZ488,Rousettus madagascariensis,BDBV,531.25,0
MIZ489,Rousettus madagascariensis,BDBV,145.25,0
MIZ490,Rousettus madagascariensis,BDBV,45.75,0
MIZ491,Rousettus madagascariensis,BDBV,91.25,0
MIZ492,Rousettus madagascariensis,BDBV,10920.75,1
MIZ493,Rousettus madagascariensis,BDBV,2140.75,0
MIZ494,Rousettus madagascariensis,BDBV,206.25,0
MIZ495,Rousettus madagascariensis,BDBV,74.75,0
MIZ496,Rousettus madagascariensis,BDBV,83.75,0
MIZ497,Rousettus madagascariensis,BDBV,74.75,0
MIZ498,Rousettus madagascariensis,BDBV,551.75,0
MIZ499,Rousettus madagascariensis,BDBV,581.25,0
MIZ500,Rousettus madagascariensis,BDBV,113.75,0
MIZ501,Rousettus madagascariensis,BDBV,29.75,0
MIZ502,Rousettus madagascariensis,BDBV,271.75,0
MIZ503,Rousettus madagascariensis,BDBV,56.75,0
MIZ504,Rousettus madagascariensis,BDBV,45.75,0
MIZ505,Rousettus madagascariensis,BDBV,90.75,0
MIZ506,Rousettus madagascariensis,BDBV,681.75,0
MIZ508,Rousettus madagascariensis,BDBV,321.25,0
MIZ509,Rousettus madagascariensis,BDBV,1253.75,0
MIZ510,Rousettus madagascariensis,BDBV,2327.75,0
MIZ511,Rousettus madagascariensis,BDBV,63.75,0
MIZ512,Rousettus madagascariensis,BDBV,799.75,0
MIZ513,Rousettus madagascariensis,BDBV,392.25,0
MIZ516,Rousettus madagascariensis,BDBV,66.25,0
MIZ517,Rousettus madagascariensis,BDBV,1545.75,0
MIZ518,Rousettus madagascariensis,BDBV,54.25,0
MIZ519,Rousettus madagascariensis,BDBV,49.75,0
MIZ520,Rousettus madagascariensis,BDBV,566.5,0
MIZ521,Rousettus madagascariensis,BDBV,2935,0
MIZ522,Rousettus madagascariensis,BDBV,22,0
MIZ523,Rousettus madagascariensis,BDBV,73,0
MIZ524,Rousettus madagascariensis,BDBV,15200,1
MIZ525,Rousettus madagascariensis,BDBV,8.5,0
MIZ526,Rousettus madagascariensis,BDBV,303,0
MIZ527,Rousettus madagascariensis,BDBV,214,0
MIZ528,Rousettus madagascariensis,BDBV,458,0
MIZ529,Rousettus madagascariensis,BDBV,307,0
MIZ530,Rousettus madagascariensis,BDBV,226,0
MIZ531,Rousettus madagascariensis,BDBV,536,0
MIZ532,Rousettus madagascariensis,BDBV,103,0
MIZ533,Rousettus madagascariensis,BDBV,1418,0
MIZ534,Rousettus madagascariensis,BDBV,188,0
MIZ535,Rousettus madagascariensis,BDBV,43,0
MIZ536,Rousettus madagascariensis,BDBV,135,0
MIZ537,Rousettus madagascariensis,BDBV,14590,1
MIZ538,Rousettus madagascariensis,BDBV,80.5,0
MIZ539,Rousettus madagascariensis,BDBV,56,0
MIZ540,Rousettus madagascariensis,BDBV,448,0
MIZ541,Rousettus madagascariensis,BDBV,242,0
MIZ542,Rousettus madagascariensis,BDBV,280,0
MIZ543,Rousettus madagascariensis,BDBV,961,0
MIZ544,Rousettus madagascariensis,BDBV,89,0
MIZ550,Rousettus madagascariensis,BDBV,218.5,0
MIZ551,Rousettus madagascariensis,BDBV,96,0
MIZ552,Rousettus madagascariensis,BDBV,149,0
MIZ553,Rousettus madagascariensis,BDBV,273,0
MIZ554,Rousettus madagascariensis,BDBV,189,0
MIZ555,Rousettus madagascariensis,BDBV,6746,1
MIZ556,Rousettus madagascariensis,BDBV,7290,1
MIZ557,Rousettus madagascariensis,BDBV,239.5,0
MIZ558,Rousettus madagascariensis,BDBV,334,0
MIZ559,Rousettus madagascariensis,BDBV,285.5,0
MIZ560,Rousettus madagascariensis,BDBV,70,0
MIZ561,Rousettus madagascariensis,BDBV,52.5,0
MIZ562,Rousettus madagascariensis,BDBV,133,0
MIZ563,Rousettus madagascariensis,BDBV,387,0
MIZ564,Rousettus madagascariensis,BDBV,150,0
MIZ565,Rousettus madagascariensis,BDBV,160,0
MIZ566,Rousettus madagascariensis,BDBV,223.5,0
MIZ567,Rousettus madagascariensis,BDBV,93,0
MIZ568,Rousettus madagascariensis,BDBV,6691.5,1
MIZ569,Rousettus madagascariensis,BDBV,163,0
MIZ570,Rousettus madagascariensis,BDBV,2226,0
MIZ571,Rousettus madagascariensis,BDBV,35,0
MIZ572,Rousettus madagascariensis,BDBV,148,0
MIZ573,Rousettus madagascariensis,BDBV,29,0
MIZ574,Rousettus madagascariensis,BDBV,319,0
MIZ575,Rousettus madagascariensis,BDBV,369,0
MIZ576,Rousettus madagascariensis,BDBV,7461,1
MIZ577,Rousettus madagascariensis,BDBV,244,0
MIZ578,Rousettus madagascariensis,BDBV,150,0
MIZ580,Rousettus madagascariensis,BDBV,33,0
MIZ581,Rousettus madagascariensis,BDBV,26.5,0
MIZ582,Rousettus madagascariensis,BDBV,4682,0
MIZ583,Rousettus madagascariensis,BDBV,90,0
MIZ585,Rousettus madagascariensis,BDBV,209,0
MIZ586,Rousettus madagascariensis,BDBV,95,0
MIZ587,Rousettus madagascariensis,BDBV,92,0
MIZ588,Rousettus madagascariensis,BDBV,154,0
MIZ589,Rousettus madagascariensis,BDBV,263,0
MIZ590,Rousettus madagascariensis,BDBV,1096.5,0
MIZ591,Rousettus madagascariensis,BDBV,121,0
MIZ593,Rousettus madagascariensis,BDBV,122,0
MIZ594,Rousettus madagascariensis,BDBV,141,0
MIZ595,Rousettus madagascariensis,BDBV,168,0
MIZ596,Rousettus madagascariensis,BDBV,372,0
MIZ598,Rousettus madagascariensis,BDBV,70,0
MIZ599,Rousettus madagascariensis,BDBV,410,0
MIZ600,Rousettus madagascariensis,BDBV,11581,1
MIZ601,Rousettus madagascariensis,BDBV,104,0
MIZ602,Rousettus madagascariensis,BDBV,5823,1
MIZ603,Rousettus madagascariensis,BDBV,336,0
MIZ604,Rousettus madagascariensis,BDBV,254,0
MIZ605,Rousettus madagascariensis,BDBV,151.5,0
MIZ606,Rousettus madagascariensis,BDBV,165.5,0
MIZ607,Rousettus madagascariensis,BDBV,220,0
MIZ608,Rousettus madagascariensis,BDBV,483,0
MIZ609,Rousettus madagascariensis,BDBV,1758.5,0
MIZ610,Rousettus madagascariensis,BDBV,227.5,0
MIZ611,Rousettus madagascariensis,BDBV,68.5,0
MIZ612,Rousettus madagascariensis,BDBV,55,0
MIZ613,Rousettus madagascariensis,BDBV,53,0
MIZ614,Rousettus madagascariensis,BDBV,91.5,0
MIZ615,Rousettus madagascariensis,BDBV,97,0
MIZ616,Rousettus madagascariensis,BDBV,73,0
MIZ617,Rousettus madagascariensis,BDBV,261,0
MIZ618,Rousettus madagascariensis,BDBV,258,0
MIZ619,Rousettus madagascariensis,BDBV,137,0
MIZ620,Rousettus madagascariensis,BDBV,98,0
MIZ621,Rousettus madagascariensis,BDBV,38.5,0
MIZ622,Rousettus madagascariensis,BDBV,424,0
MIZ624,Rousettus madagascariensis,BDBV,478.5,0
MIZ625,Rousettus madagascariensis,BDBV,62,0
MIZ626,Rousettus madagascariensis,BDBV,76.5,0
MIZ627,Rousettus madagascariensis,BDBV,36,0
MIZ629,Rousettus madagascariensis,BDBV,129,0
MIZ630,Rousettus madagascariensis,BDBV,225,0
MIZ631,Rousettus madagascariensis,BDBV,112.5,0
MIZ632,Rousettus madagascariensis,BDBV,36,0
MIZ633,Rousettus madagascariensis,BDBV,369,0
MIZ634,Rousettus madagascariensis,BDBV,119.5,0
MIZ635,Rousettus madagascariensis,BDBV,127,0
MIZ636,Rousettus madagascariensis,BDBV,127,0
MIZ637,Rousettus madagascariensis,BDBV,519,0
MIZ638,Rousettus madagascariensis,BDBV,432,0
MIZ639,Rousettus madagascariensis,BDBV,91,0
MIZ640,Rousettus madagascariensis,BDBV,144.5,0
MIZ641,Rousettus madagascariensis,BDBV,168,0
MIZ642,Rousettus madagascariensis,BDBV,146,0
MIZ643,Rousettus madagascariensis,BDBV,59,0
MIZ644,Rousettus madagascariensis,BDBV,177,0
MIZ646,Rousettus madagascariensis,BDBV,469,0
MIZ647,Rousettus madagascariensis,BDBV,143,0
MIZ649,Rousettus madagascariensis,BDBV,394.5,0
MIZ650,Rousettus madagascariensis,BDBV,611,0
ROU100,Rousettus madagascariensis,BDBV,379.25,0
ROU101,Rousettus madagascariensis,BDBV,88.75,0
ROU102,Rousettus madagascariensis,BDBV,463.75,0
ROU103,Rousettus madagascariensis,BDBV,150.25,0
ROU104,Rousettus madagascariensis,BDBV,99.75,0
ROU105,Rousettus madagascariensis,BDBV,531.25,0
ROU107,Rousettus madagascariensis,BDBV,475.75,0
ROU108,Rousettus madagascariensis,BDBV,1279.75,0
ROU110,Rousettus madagascariensis,BDBV,272.25,0
ROU111,Rousettus madagascariensis,BDBV,348.75,0
ROU112,Rousettus madagascariensis,BDBV,1865.25,0
ROU113,Rousettus madagascariensis,BDBV,574.75,0
ROU114,Rousettus madagascariensis,BDBV,192.25,0
ROU115,Rousettus madagascariensis,BDBV,84.25,0
ROU116,Rousettus madagascariensis,BDBV,119.75,0
ROU117,Rousettus madagascariensis,BDBV,40.75,0
ROU118,Rousettus madagascariensis,BDBV,519.75,0
ROU119,Rousettus madagascariensis,BDBV,608.75,0
ROU120,Rousettus madagascariensis,BDBV,41.75,0
ROU121,Rousettus madagascariensis,BDBV,275.25,0
ROU122,Rousettus madagascariensis,BDBV,787,0
ROU123,Rousettus madagascariensis,BDBV,96,0
ROU124,Rousettus madagascariensis,BDBV,397,0
ROU125,Rousettus madagascariensis,BDBV,197.5,0
ROU126,Rousettus madagascariensis,BDBV,1471,0
ROU127,Rousettus madagascariensis,BDBV,1486,0
ROU128,Rousettus madagascariensis,BDBV,388,0
ROU129,Rousettus madagascariensis,BDBV,1160,0
ROU130,Rousettus madagascariensis,BDBV,147,0
ROU131,Rousettus madagascariensis,BDBV,464,0
ROU132,Rousettus madagascariensis,BDBV,73,0
ROU133,Rousettus madagascariensis,BDBV,32,0
ROU134,Rousettus madagascariensis,BDBV,507.5,0
ROU135,Rousettus madagascariensis,BDBV,2092,0
ROU137,Rousettus madagascariensis,BDBV,62,0
ROU138,Rousettus madagascariensis,BDBV,37,0
ROU139,Rousettus madagascariensis,BDBV,237.5,0
ROU140,Rousettus madagascariensis,BDBV,602,0
ROU141,Rousettus madagascariensis,BDBV,78,0
ROU142,Rousettus madagascariensis,BDBV,1371.5,0
ROU143,Rousettus madagascariensis,BDBV,601,0
ROU144,Rousettus madagascariensis,BDBV,1584,0
ROU145,Rousettus madagascariensis,BDBV,588,0
ROU146,Rousettus madagascariensis,BDBV,166,0
ROU147,Rousettus madagascariensis,BDBV,101,0
ROU148,Rousettus madagascariensis,BDBV,126.5,0
ROU149,Rousettus madagascariensis,BDBV,1246,0
ROU150,Rousettus madagascariensis,BDBV,262,0
ROU151,Rousettus madagascariensis,BDBV,578,0
ROU152,Rousettus madagascariensis,BDBV,1253,0
ROU153,Rousettus madagascariensis,BDBV,498,0
ROU154,Rousettus madagascariensis,BDBV,485,0
ROU155,Rousettus madagascariensis,BDBV,387,0
ROU156,Rousettus madagascariensis,BDBV,2519,0
ROU157,Rousettus madagascariensis,BDBV,430,0
ROU158,Rousettus madagascariensis,BDBV,2426,0
ROU159,Rousettus madagascariensis,BDBV,2734,0
ROU160,Rousettus madagascariensis,BDBV,130,0
ROU161,Rousettus madagascariensis,BDBV,613,0
ROU162,Rousettus madagascariensis,BDBV,156,0
ROU163,Rousettus madagascariensis,BDBV,494,0
ROU164,Rousettus madagascariensis,BDBV,153.5,0
ROU165,Rousettus madagascariensis,BDBV,95,0
ROU166,Rousettus madagascariensis,BDBV,195,0
ROU167,Rousettus madagascariensis,BDBV,510.5,0
ROU168,Rousettus madagascariensis,BDBV,148.5,0
ROU169,Rousettus madagascariensis,BDBV,22810,1
ROU170,Rousettus madagascariensis,BDBV,515.5,0
ROU171,Rousettus madagascariensis,BDBV,130,0
ROU172,Rousettus madagascariensis,BDBV,287,0
ROU173,Rousettus madagascariensis,BDBV,402,0
ROU174,Rousettus madagascariensis,BDBV,323,0
ROU175,Rousettus madagascariensis,BDBV,183,0
ROU176,Rousettus madagascariensis,BDBV,88,0
ROU177,Rousettus madagascariensis,BDBV,180,0
ROU178,Rousettus madagascariensis,BDBV,195,0
ROU179,Rousettus madagascariensis,BDBV,1037.5,0
ROU180,Rousettus madagascariensis,BDBV,56,0
ROU181,Rousettus madagascariensis,BDBV,99,0
ROU182,Rousettus madagascariensis,BDBV,58.5,0
ROU183,Rousettus madagascariensis,BDBV,75,0
ROU184,Rousettus madagascariensis,BDBV,613,0
ROU185,Rousettus madagascariensis,BDBV,188,0
ROU186,Rousettus madagascariensis,BDBV,26,0
ROU187,Rousettus madagascariensis,BDBV,35.5,0
ROU188,Rousettus madagascariensis,BDBV,183,0
ROU189,Rousettus madagascariensis,BDBV,3815,0
ROU190,Rousettus madagascariensis,BDBV,466,0
ROU191,Rousettus madagascariensis,BDBV,223,0
ROU192,Rousettus madagascariensis,BDBV,102,0
ROU193,Rousettus madagascariensis,BDBV,98,0
ROU194,Rousettus madagascariensis,BDBV,184.5,0
ROU195,Rousettus madagascariensis,BDBV,61,0
ROU196,Rousettus madagascariensis,BDBV,191,0
ROU94,Rousettus madagascariensis,BDBV,905.25,0
ROU95,Rousettus madagascariensis,BDBV,609.25,0
ROU96,Rousettus madagascariensis,BDBV,750.25,0
ROU97,Rousettus madagascariensis,BDBV,591.75,0
ROU98,Rousettus madagascariensis,BDBV,574.75,0
ROU99,Rousettus madagascariensis,BDBV,742.75,0
RTC001,Rousettus madagascariensis,BDBV,72.75,0
RTC002,Rousettus madagascariensis,BDBV,1381,0
RTC003,Rousettus madagascariensis,BDBV,34.75,0
RTC004,Rousettus madagascariensis,BDBV,131,0
RTC005,Rousettus madagascariensis,BDBV,216.75,0
RTC006,Rousettus madagascariensis,BDBV,492,0
RTC007,Rousettus madagascariensis,BDBV,1578,0
RTC008,Rousettus madagascariensis,BDBV,309.5,0
RTC009,Rousettus madagascariensis,BDBV,483.5,0
RTC010,Rousettus madagascariensis,BDBV,861.5,0
RTC011,Rousettus madagascariensis,BDBV,514,0
RTC012,Rousettus madagascariensis,BDBV,125,0
MIZ305,Rousettus madagascariensis,BDBV,1805.5,0
MIZ306,Rousettus madagascariensis,BDBV,103.5,0
MIZ307,Rousettus madagascariensis,BDBV,286,0
MIZ135,Rousettus madagascariensis,RAVV,2974.75,1
MIZ136,Rousettus madagascariensis,RAVV,569.75,1
MIZ138,Rousettus madagascariensis,RAVV,283.25,0
MIZ139,Rousettus madagascariensis,RAVV,1922.75,1
MIZ140,Rousettus madagascariensis,RAVV,799.75,1
MIZ141,Rousettus madagascariensis,RAVV,1741.25,1
MIZ142,Rousettus madagascariensis,RAVV,457.75,0
MIZ143,Rousettus madagascariensis,RAVV,1747.75,1
MIZ145,Rousettus madagascariensis,RAVV,3082.25,1
MIZ146,Rousettus madagascariensis,RAVV,724.25,1
MIZ147,Rousettus madagascariensis,RAVV,4466.25,1
MIZ148,Rousettus madagascariensis,RAVV,497.75,1
MIZ149,Rousettus madagascariensis,RAVV,596.5,1
MIZ150,Rousettus madagascariensis,RAVV,211.5,0
MIZ151,Rousettus madagascariensis,RAVV,206.5,0
MIZ152,Rousettus madagascariensis,RAVV,889.5,1
MIZ156,Rousettus madagascariensis,RAVV,183,0
MIZ157,Rousettus madagascariensis,RAVV,1626.5,1
MIZ158,Rousettus madagascariensis,RAVV,1232.5,1
MIZ159,Rousettus madagascariensis,RAVV,263.75,0
MIZ161,Rousettus madagascariensis,RAVV,219.5,0
MIZ162,Rousettus madagascariensis,RAVV,218.25,0
MIZ164,Rousettus madagascariensis,RAVV,397.5,0
MIZ165,Rousettus madagascariensis,RAVV,535.5,1
MIZ166,Rousettus madagascariensis,RAVV,396.5,0
MIZ167,Rousettus madagascariensis,RAVV,329,0
MIZ168,Rousettus madagascariensis,RAVV,500.5,1
MIZ169,Rousettus madagascariensis,RAVV,1535.5,1
MIZ170,Rousettus madagascariensis,RAVV,352.5,0
MIZ171,Rousettus madagascariensis,RAVV,757.5,1
MIZ172,Rousettus madagascariensis,RAVV,311.5,0
MIZ173,Rousettus madagascariensis,RAVV,202.5,0
MIZ174,Rousettus madagascariensis,RAVV,1055.5,1
MIZ175,Rousettus madagascariensis,RAVV,2007.5,1
MIZ176,Rousettus madagascariensis,RAVV,42.5,0
MIZ177,Rousettus madagascariensis,RAVV,787.5,1
MIZ178,Rousettus madagascariensis,RAVV,1848.5,1
MIZ179,Rousettus madagascariensis,RAVV,13299.5,1
MIZ180,Rousettus madagascariensis,RAVV,507.5,1
MIZ181,Rousettus madagascariensis,RAVV,5237.5,1
MIZ182,Rousettus madagascariensis,RAVV,5491.5,1
MIZ183,Rousettus madagascariensis,RAVV,2254.5,1
MIZ184,Rousettus madagascariensis,RAVV,2519.5,1
MIZ185,Rousettus madagascariensis,RAVV,532.5,1
MIZ186,Rousettus madagascariensis,RAVV,481.5,0
MIZ187,Rousettus madagascariensis,RAVV,680.5,1
MIZ188,Rousettus madagascariensis,RAVV,3184.5,1
MIZ189,Rousettus madagascariensis,RAVV,735.5,1
