"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"AMB134",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-03-01
"AMB136",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-03-01
"AMB138",4,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-03-02
"AMB141",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-04-16
"AMB143",3,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-04-17
"AMB148",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-04-22
"AMB149",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-08-05
"AMB150",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-08-06
"AMB151",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-08-07
"AMB152",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-08-07
"AMB155",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-08-08
"AMB156",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-21
"AMB157",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-24
"AMB162",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-02-14
"AMB163",5,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-02-18
"AMB164",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-02-19
"AMB19",3,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2013-11-19
"AMB2",1,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2013-11-15
"AMB35",3,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2014-09-06
"AMB36",9,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2014-09-08
"AMB37",4.6,"multiple","Pteropus_rufus","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-09-09
"AMB38",3,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2014-09-12
"AMB39",3,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2014-12-05
"AMB45",6,"multiple","Pteropus_rufus","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-12-06
"AMB46",2,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2014-12-07
"AMB47",2,"lower left premolar","Pteropus_rufus","C","yes","Brook et al. 2019","age from 1 tooth",2014-12-07
"AMB52",5,"upper left canine","Pteropus_rufus","A","yes","Brook et al. 2019","age inferred from 1 tooth",2014-12-08
"AMB61",2,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2014-12-09
"AMB62",1,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age inferred from 1 tooth",2014-12-09
"AMB64",3,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2015-03-18
"AMB65",1,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-03-18
"AMB66",3,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-03-19
"AMB67",3,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-03-20
"AMB72",2,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-03-21
"AMB78",3,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-05-10
"AMB79",1,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2015-05-11
"AMB80",2,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2015-05-11
"AMB81",1,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-05-12
"AMB82",1,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2015-05-12
"AMB83",4,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-14
"AMB84",1,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-15
"AMB85",2,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2016-01-15
"AMB86",2,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-15
"AMB87",1,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-15
"AMB88",1,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-15
"AMB89",3,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2016-01-16
"AMB90",6,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-16
"AMB91",1,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2016-01-17
